Sample,Profile,Type,Depth,Proportion,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,La_Sm_PR,La_Yb_PR,Ce_anom,Eu_anom,Y,Th,Zr,Hf,Ti
GEBPRA,GE,Rock,NA,NA,27.5,45.7,4.13,14.1,2.62,0.96,2.7,0.37,2.06,0.4,0.95,0.17,1.22,NA,102.88,NA,NA,NA,NA,11.1,32.1,NA,NA,NA
GEBPRB,GE,Rock,NA,NA,31.4,50.1,4.72,16.5,3.06,0.9,3.23,0.41,2.1,0.45,1.21,0.18,1.38,NA,115.64,NA,NA,NA,NA,12.2,25.6,NA,NA,NA
GEPR1A,GE,Rock,NA,NA,9.69,14.2,1.19,4.72,1.04,0.09,1.6,0.29,1.94,0.43,1.49,0.23,1.4,NA,38.31,NA,NA,NA,NA,12.4,10.4,NA,NA,NA
GEPR1B,GE,Rock,NA,NA,29.9,50.4,4.96,17.3,3.66,1.24,4.17,0.6,3.62,0.71,2.01,0.25,1.67,NA,120.49,NA,NA,NA,NA,19.7,14.2,NA,NA,NA
GEPR23,GE,Rock,NA,NA,35.5,59.2,5.67,19,3.77,0.9,4.68,0.69,3.26,0.63,1.72,0.28,2.12,NA,137.42,NA,NA,NA,NA,19.1,21.8,NA,NA,NA
GEPR3,GE,Rock,NA,NA,4,10.8,1.37,7.55,2.45,0.82,2.56,0.48,3.03,0.56,1.98,0.3,1.72,NA,37.62,NA,NA,NA,NA,17.2,1.38,NA,NA,NA
GEA1g,GE,Regolith,0.09,NA,5.08,13.8,1.17,4.56,0.97,0.18,0.88,0.15,0.89,0.19,0.53,0.08,0.64,NA,29.12,0.6,0.5,1.4,0.9,4.7,69.7,NA,NA,NA
GEA1m,GE,Regolith,0.09,NA,3.86,8.43,0.78,2.68,0.69,0.15,0.64,0.12,0.82,0.18,0.5,0.11,0.64,NA,19.6,0.6,0.4,1.2,1,4.86,7.56,NA,NA,NA
GEA2g,GE,Regolith,0.12,NA,5.47,15,1.26,4.83,1.06,0.22,1.02,0.17,0.96,0.21,0.61,0.08,0.65,NA,31.54,0.5,0.5,1.4,1,4.93,60,NA,NA,NA
GEA2m,GE,Regolith,0.12,NA,2.69,5.88,0.55,1.88,0.54,0.13,0.57,0.13,0.59,0.15,0.53,0.09,0.51,NA,14.24,0.5,0.3,1.2,1.1,4.03,7.04,NA,NA,NA
