Sample,Si,Al,Fe,Mg,Ca,Na,K,Ti,P,Mn,LOI,C,S,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,?REE
JB1-A,2.11,0.13,0.06,0.85,34.46,0.31,0.08,0.01,0.03,0.01,43,11.9,0.19,1.4,1.6,0.18,0.9,0.11,0.04,0.27,0.03,0.24,0.07,0.21,0.02,0.15,0.02,5.2
JB1-B,3.96,0.13,0.07,0.99,32.44,0.23,0.11,0.01,0.03,0.01,41.6,11.36,0.16,1.3,1.7,0.23,1,0.21,0.05,0.36,0.04,0.34,0.07,0.31,0.03,0.14,0.03,5.8
JB1-C,0.68,0.03,0.03,0.95,35.42,0.32,0.03,0.01,0.03,0.01,44.7,12.18,0.22,0.7,0.8,0.1,0.5,0.09,0.04,0.16,0.03,0.23,0.04,0.11,0.02,0.1,0.02,2.9
JB1-D,4.59,0.14,0.06,0.89,32.44,0.24,0.12,0.01,0.03,0.01,40.5,11.18,0.16,1.1,1.8,0.18,0.9,0.21,0.06,0.32,0.04,0.42,0.07,0.28,0.04,0.22,0.03,5.7
JB1-E,3.46,0.12,0.06,0.93,33.16,0.26,0.1,0.01,0.03,0.01,41.8,11.5,0.17,1.2,1.6,0.21,0.9,0.21,0.06,0.33,0.06,0.39,0.09,0.24,0.06,0.3,0.05,5.7
JB3-A,27.4,0.37,0.24,0.29,13.89,0.11,0.22,0.1,0.02,0.01,19.2,5.15,0.06,1.9,3.4,0.37,1.5,0.39,0.07,0.41,0.06,0.34,0.06,0.35,0.06,0.65,0.09,9.7
JB3-B,3.94,0.12,0.06,0.82,32.81,0.22,0.09,0.01,0.04,0.01,41.7,11.5,0.14,1.3,2.5,0.22,0.7,0.37,0.08,0.33,0.05,0.31,0.1,0.3,0.04,0.22,0.03,6.6
JB3-C,38.43,0.3,0.36,0.1,5.54,0.04,0.12,0.06,0.01,0.01,8.2,2.52,0.02,1.8,3.1,0.32,1.8,0.64,0.34,1.57,0.14,0.59,0.13,0.42,0.12,0.47,0.15,11.6
JB3-D,27.41,0.34,0.26,0.29,14.05,0.11,0.22,0.04,0.02,0.01,19.1,5.38,0.06,1.8,2.7,0.28,1,0.56,0.17,0.63,0.08,0.4,0.1,0.33,0.08,0.49,0.09,8.7
JB3-E,35.24,0.37,0.35,0.14,8.14,0.06,0.19,0.07,0.02,0.01,11,3.33,0.03,1.9,3.7,0.28,1.1,0.29,0.05,0.28,0.04,0.38,0.09,0.21,0.04,0.25,0.03,8.6
JB5-A,45.4,0.07,0.46,0,0.08,0.01,0.01,0.08,0,0.01,1.8,0.47,<0.02,2.3,4.4,0.4,1.4,0.29,0.02,0.2,0.03,0.19,0.04,0.19,0.03,0.23,0.02,9.7
