Site,MapUnit,Longitude,Latitude
616-01-003,Bassendean,115.9156,-31.8135
616-01-005,Bassendean,115.9075,-31.7777
616-01-011,Bassendean,115.8356,-31.7224
616-01-014,Bassendean,115.8781,-31.7408
616-01-018,Bassendean,115.9446,-31.8134
616-01-019,Bassendean,115.8735,-31.9386
616-01-023,Tamala,115.815,-31.9237
616-01-024,Tamala,115.8009,-31.9098
616-02-009,Bassendean,115.9433,-31.9245
616-02-028,Guildford,115.9373,-32.2779
616-02-031,Bassendean,115.9593,-32.0909
616-02-032,Bassendean,115.9125,-32.0921
616-02-058,Bassendean,115.9515,-32.1436
616-02-065,Bassendean,115.8817,-32.1673
616-02-068,Bassendean,115.8354,-32.0818
616-02-071,Bassendean,115.8347,-32.1319
616-02-078,Bassendean,115.8768,-32.177
616-02-080,Bassendean,115.9056,-32.1982
616-02-081,Bassendean,115.8855,-32.1984
616-02-082,Bassendean,115.8419,-32.2117
616-02-085,Bassendean,115.9562,-32.0422
616-02-087,Bassendean,115.8625,-32.2326
616-02-094,Bassendean,115.9432,-32.0336
616-02-099,Bassendean,115.9023,-32.1966
616-02-100,Bassendean,115.8762,-32.0202
616-02-101,Tamala,115.7933,-31.9059
616-02-105,Tamala,115.8234,-31.8802
616-02-106,Tamala,115.8136,-31.8798
616-02-110,Tamala,115.79,-31.8741
616-02-112,Tamala,115.7584,-31.8548
616-02-113,Bassendean,115.815,-31.8169
616-02-122,Bassendean,115.8871,-31.9117
616-02-127,Bassendean,115.9243,-31.9026
616-02-131,Tamala,115.8724,-31.9543
616-02-136,Bassendean,115.9452,-31.971
616-02-145,Bassendean,115.9793,-31.9212
616-02-155,Guildford,115.8263,-32.305
616-02-158,Bassendean,115.8303,-32.3542
616-02-174,Bassendean,115.9129,-31.8434
616-02-179,Bassendean,115.9383,-31.8744
Ellenbrook,Bassendean,115.9741,-31.791
