Pos. [°2?],Intensity [Counts],,,
6.6419,5817.7945,,,
6.6639,5891.3874,,,
6.6859,5996.1593,,,
6.7079,5946.3505,,,
6.7299,5827.5349,,,
6.7519,5749.8274,,,
6.7739,5764.6087,,,
6.7959,5701.6189,,,
6.8179,5777.475,,,
6.8399,5778.1165,,,
6.8619,5808.4523,,,
6.8839,5861.7198,,,
6.9059,5713.7541,,,
6.9279,5666.5762,,,
6.9499,5778.3275,,,
6.9719,5649.8662,,,
6.9939,5687.6274,,,
7.0159,5694.4779,,,
7.0379,5669.704,,,
7.0599,5692.4351,,,
7.0819,5651.5988,,,
7.1039,5620.7453,,,
7.1259,5494.5781,,,
7.1479,5425.8097,,,
7.1699,5586.8506,,,
7.1919,5530.9705,,,
7.2139,5582.6313,,,
7.2359,5476.4365,,,Q= Quartz (SiO2)
7.2579,5430.3205,,,K = Kaolinite (Al2Si2O5(OH)4)
7.2799,5362.1548,,,M = Muscovite (Mica Group) (Al2K2O6Si)
7.3019,5551.3472,,,H = Halite (NaCl)
7.3239,5374.9532,,,"A = Albite (Feldspar, NaAlSi3O8)"
7.3459,5344.2389,,,
7.3679,5399.6593,,,
7.3899,5304.3511,,,
7.4119,5510.7773,,,
7.4339,5398.7178,,,
7.4559,5384.3195,,,
7.4779,5253.3983,,,
7.4999,5361.6981,,,
7.5219,5384.4159,,,
7.5439,5404.7257,,,
7.5659,5359.586,,,
7.5879,5310.2129,,,
7.6099,5362.7021,,,
7.6319,5325.8874,,,
7.6539,5290.3825,,,
7.6759,5377.7094,,,
7.6979,5254.2192,,,
7.7199,5210.2183,,,
7.7419,5354.115,,,
7.7639,5327.4621,,,
7.7859,5314.3511,,,
7.8079,5325.3731,,,
7.8299,5232.4327,,,
7.8519,5331.3938,,,
7.8739,5288.9085,,,
7.8959,5168.6175,,,
7.9179,5232.5998,,,
7.9399,5211.4425,,,
7.9619,5205.7522,,,
7.9839,5139.7272,,,
8.0059,5125.1356,,,
8.0279,5086.8938,,,
8.0499,5101.7944,,,
8.0719,5094.6181,,,
8.0939,5191.7325,,,
8.1159,5202.0541,,,
8.1379,5203.5928,,,
8.1599,5091.8766,,,
8.1819,5080.4297,,,
8.2039,5046.5251,,,
8.2259,5009.7541,,,
8.2479,5000.4199,,,
8.2699,5073.6991,,,
8.2919,5076.6067,,,
8.3139,5019.1239,,,
8.3359,5076.5974,,,
8.3579,5125.4946,,,
8.3799,5117.3402,,,
8.4019,5086.6725,,,
8.4239,5032.0437,,,
8.4459,4985.5034,,,
8.4679,5005.1696,,,
8.4899,4982.0983,,,
8.5119,4983.5585,,,
8.5339,4909.6283,,,
8.5559,4955.4022,,,
8.5779,4840.9704,,,
8.5999,4903.3482,,,
8.6219,4848.8347,,,
8.6439,4878.7955,,,
8.6659,4746.7905,,,
8.6879,4761.5723,,,
8.7099,4916.7965,,,
8.7319,4926.8495,,,
8.7539,4857.8889,,,
8.7759,4820.4582,,,
8.7979,4769.2655,,,
8.8199,4764.5172,,,
8.8419,4750.2881,,,
8.8639,5007.1624,,,
8.8859,4884.1405,,,
8.9079,4764.1632,,,
8.9299,4778.9115,,,
8.9519,4728.8077,,,
8.9739,4724.7021,,,
8.9959,4769.736,,,
9.0179,4682.3982,,,
9.0399,4653.4361,,,
9.0619,4623.5044,,,
9.0839,4770.1702,,,
