Angle,Counts
6.3714,2434.3201
6.3824,2462.1997
6.3934,2459.4028
6.4044,2501.4006
6.4154,2463.2499
6.4264,2411.2281
6.4374,2403.9532
6.4484,2428.7295
6.4594,2383.3542
6.4704,2393.1524
6.4814,2477.2019
6.4924,2417.0813
6.5034,2426.3421
6.5144,2371.1051
6.5254,2377.5667
6.5364,2417.5172
6.5474,2476.6336
6.5584,2341.2932
6.5694,2297.3764
6.5804,2333.086
6.5914,2340.3822
6.6024,2316.6971
6.6134,2390.0342
6.6244,2387.4929
6.6354,2325.4181
6.6464,2227.546
6.6574,2235.2698
6.6684,2365.843
6.6794,2417.6137
6.6904,2379.5902
6.7014,2335.9837
6.7124,2329.4636
6.7234,2343.8714
6.7344,2272.11
6.7454,2307.0361
6.7564,2406.6566
6.7674,2356.9541
6.7784,2271.5322
6.7894,2209.8494
6.8004,2267.3653
6.8114,2347.4552
6.8224,2328.8288
6.8334,2277.9698
6.8444,2303.0266
6.8554,2323.7506
6.8664,2273.1413
6.8774,2324.4979
6.8884,2315.376
6.8994,2246.6466
6.9104,2224.9951
6.9214,2227.489
6.9324,2235.8319
6.9434,2246.4335
6.9544,2308.2984
6.9654,2289.7242
6.9764,2245.0132
6.9874,2219.6833
6.9984,2237.7321
7.0094,2258.3128
7.0204,2219.0605
7.0314,2217.9976
7.0424,2231.8157
7.0534,2255.3883
7.0644,2240.2
7.0754,2171.2791
7.0864,2201.6215
7.0974,2265.5465
7.1084,2287.7889
7.1194,2295.1413
7.1304,2219.2771
7.1414,2208.2781
7.1524,2248.2868
7.1634,2224.1018
7.1744,2222.0539
7.1854,2211.7347
7.1964,2256.6435
7.2074,2286.0741
7.2184,2210.016
7.2294,2259.2635
7.2404,2190.583
7.2514,2148.1843
7.2624,2217.2847
7.2734,2218.7239
7.2844,2227.9603
7.2954,2197.2911
7.3064,2181.4429
7.3174,2130.3069
7.3284,2164.5902
7.3394,2145.3467
7.3504,2067.6301
7.3614,2159.6763
7.3724,2130.3544
7.3834,2145.0937
7.3944,2198.8731
7.4054,2101.8404
7.4164,2101.6254
7.4274,2127.7508
7.4384,2130.8229
7.4494,2101.8881
7.4604,2161.913
7.4714,2032.8881
7.4824,2015.5609
7.4934,2098.7856
7.5044,2091.9744
7.5154,2095.9843
7.5264,2173.6456
7.5374,2056.5023
7.5484,2043.0159
7.5594,2076.2813
7.5704,2030.7074
7.5814,2135.7887
7.5924,2173.3709
7.6034,2045.0307
7.6144,2081.7615
7.6254,2011.2766
7.6364,2121.5289
7.6474,2061.3102
7.6584,2104.5219
7.6694,2100.2116
7.6804,2060.2913
7.6914,2053.1987
7.7024,1979.7778
7.7134,2057.8972
7.7244,2127.6483
7.7354,2109.7467
7.7464,2041.1975
7.7574,2019.5987
7.7684,2059.7905
7.7794,2088.5265
7.7904,2090.8182
7.8014,2030.1263
7.8124,1972.8019
7.8234,1961.888
7.8344,2014.647
7.8454,2025.3285
7.8564,2011.6409
7.8674,2010.5265
7.8784,2031.5495
7.8894,2041.1372
7.9004,2027.9091
7.9114,2035.7706
7.9224,2034.2095
7.9334,2025.9367
7.9444,2027.9981
7.9554,2035.1435
7.9664,2015.1275
7.9774,1987.1979
7.9884,1958.3253
7.9994,2009.1891
8.0104,2037.8157
8.0214,1970.2229
8.0324,2010.908
8.0434,2017.1715
8.0544,2024.6328
8.0654,1983.4138
8.0764,1994.9067
8.0874,1957.9166
8.0984,1918.4567
8.1094,1984.8732
8.1204,1957.2016
8.1314,1944.1609
8.1424,1950.9282
8.1534,2001.4784
8.1644,1936.1581
8.1754,1919.5168
8.1864,1982.0465
8.1974,2025.4593
8.2084,2019.5641
8.2194,2004.9299
8.2304,1901.9063
8.2414,1939.4101
8.2524,1997.7082
8.2634,1943.6627
8.2744,1910.808
8.2854,1910.6808
8.2964,1893.3594
8.3074,1868.8126
8.3184,1940.045
8.3294,1934.6551
8.3404,2018.9061
8.3514,2086.5921
8.3624,1943.3032
8.3734,1948.813
8.3844,1863.9228
8.3954,1973.5961
8.4064,1937.7012
8.4174,1932.7373
8.4284,1940.1035
8.4394,1887.2387
8.4504,1843.1383
8.4614,1895.9859
8.4724,1869.9197
8.4834,1862.1827
8.4944,1901.4785
8.5054,1862.8731
8.5164,1855.6378
8.5274,1855.3321
8.5384,1898.2978
8.5494,1934.9006
8.5604,1860.3629
8.5714,1940.571
8.5824,1906.302
8.5934,1867.9058
8.6044,1900.6298
8.6154,1875.4519
8.6264,1851.0504
8.6374,1880.5505
8.6484,1899.0318
8.6594,1898.0272
8.6704,1858.4261
8.6814,1879.0776
8.6924,1942.1532
8.7034,1882.0697
8.7144,1862.7149
8.7254,1912.3821
8.7364,1863.6433
8.7474,1804.8757
8.7584,1808.9957
8.7694,1815.4366
8.7804,1855.4576
8.7914,1894.1697
8.8024,1891.979
8.8134,1893.9122
8.8244,1896.1615
8.8354,1872.9712
8.8464,1833.1117
8.8574,1790.2939
8.8684,1803.7085
8.8794,1803.9946
8.8904,1855.1353
8.9014,1914.518
8.9124,1884.481
8.9234,1865.793
8.9344,1836.3372
8.9454,1807.9099
8.9564,1790.2125
8.9674,1835.2819
8.9784,1855.1973
8.9894,1855.6738
9.0004,1811.4727
9.0114,1801.121
9.0224,1862.0658
9.0334,1847.7605
9.0444,1813.0973
9.0554,1775.9841
9.0664,1815.6677
9.0774,1822.5899
9.0884,1809.7617
9.0994,1844.2157
9.1104,1936.8133
9.1214,1847.1505
9.1324,1756.9408
9.1434,1828.6243
9.1544,1842.7502
9.1654,1836.7382
