Pos. [°2?],Intensity [Counts]
6.4219,5535.8879
6.4439,5531.8648
6.4659,5473.4641
6.4879,5492.5988
6.5099,5485.4336
6.5319,5456.9897
6.5539,5455.7257
6.5759,5410.8795
6.5979,5404.1534
6.6199,5403.1106
6.6419,5383.5762
6.6639,5391.0506
6.6859,5333.8702
6.7079,5374.1652
6.7299,5326.1258
6.7519,5290.5044
6.7739,5267.1072
6.7959,5293.0325
6.8179,5277.8879
6.8399,5391.2306
6.8619,5208.3156
6.8839,5139.7242
6.9059,5127.8761
6.9279,5221.0059
6.9499,5181.3982
6.9719,5204.5856
6.9939,5219.3835
7.0159,5103.823
7.0379,5214.4238
7.0599,5168.5142
7.0819,5084.6637
7.1039,5150.7473
7.1259,5324.6244
7.1479,5092.7654
7.1699,5199.9587
7.1919,5145.496
7.2139,5166.4395
7.2359,5159.703
7.2579,5046.9036
7.2799,5039.0457
7.3019,5048.6657
7.3239,5143.9494
7.3459,5009.2212
7.3679,5155.7625
7.3899,5086.5752
7.4119,5060.6445
7.4339,5080.9036
7.4559,5025.8446
7.4779,4930.2094
7.4999,4889.0737
7.5219,4876.5683
7.5439,4863.323
7.5659,4875.3422
7.5879,4876.6101
7.6099,4860.761
7.6319,4827.8864
7.6539,4898.0522
7.6759,5042.1902
7.6979,4814.2291
7.7199,4760.4007
7.7419,4780.2301
7.7639,4808.7345
7.7859,4782.1102
7.8079,4932.3495
7.8299,4826.5536
7.8519,4780.0432
7.8739,4699.7286
7.8959,4741.0103
7.9179,4841.59
7.9399,4877.8052
7.9619,4662.2763
7.9839,4720.1653
8.0059,4796.9822
8.0279,4649.9479
8.0499,4616.765
8.0719,4656.2183
8.0939,4665.8663
8.1159,4692.9366
8.1379,4732.469
8.1599,4683.7021
8.1819,4681.4208
8.2039,4668.646
8.2259,4714.589
8.2479,4704.026
8.2699,4675.8761
8.2919,4629.2861
8.3139,4536.4021
8.3359,4505.3805
8.3579,4565.2282
8.3799,4617.4312
8.4019,4589.6873
8.4239,4509.4719
8.4459,4518.2734
8.4679,4507.1224
8.4899,4535.4651
8.5119,4524.9474
8.5339,4402.115
8.5559,4372.6834
8.5779,4420.0108
8.5999,4480.5797
8.6219,4413.4041
8.6439,4522.4136
8.6659,4416.0619
8.6879,4374.2635
8.7099,4512.8093
8.7319,4386.8273
8.7539,4203.5555
8.7759,4324.0138
8.7979,4397.2921
8.8199,4383.0044
8.8419,4320.941
8.8639,4268.7168
8.8859,4229.4936
8.9079,4299.152
8.9299,4285.5929
8.9519,4321.0895
8.9739,4243.1366
8.9959,4192.9159
9.0179,4100.174
9.0399,4239.2597
9.0619,4162.5634
9.0839,4164.735
9.1059,4063.6588
9.1279,3948.5132
9.1499,4120.829
9.1719,4036.294
9.1939,4064.7139
9.2159,4174.6312
9.2379,4110.0846
9.2599,4085.7713
9.2819,3991.0374
9.3039,4013.1725
9.3259,3972.5841
9.3479,3987.2095
9.3699,4060.4149
9.3919,4035.4439
9.4139,3946.0954
9.4359,3945.1633
9.4579,4001.0531
9.4799,3996.6961
9.5019,3943.5664
9.5239,3992.4071
9.5459,3987.23
9.5679,3897.1627
9.5899,3902.469
9.6119,3912.3997
9.6339,3929.8859
9.6559,3941.1977
9.6779,3919.3677
9.6999,3853.8098
9.7219,3873.6814
9.7439,3775.8166
9.7659,3807.065
9.7879,3965.2611
9.8099,4006.0452
9.8319,3958.2743
9.8539,3915.295
9.8759,3932.376
9.8979,3904.1141
9.9199,3967.1283
9.9419,3950.0265
9.9639,3942.7311
9.9859,3909.2389
10.0079,3967.7602
10.0299,3980.7
10.0519,3963.9455
10.0739,4081.2498
10.0959,4042.9252
10.1179,4043.1771
10.1399,4176.9834
10.1619,4270.8643
10.1839,4413.4927
10.2059,4476.0295
10.2279,4474.4307
10.2499,4676.0474
10.2719,4810.1431
10.2939,4748.4414
10.3159,4485.898
10.3379,4307.0167
10.3599,4115.669
10.3819,3965.1445
10.4039,3790.6793
10.4259,3683.0147
10.4479,3646.6195
10.4699,3658.412
10.4919,3526.4773
10.5139,3540.1239
10.5359,3583.7473
10.5579,3572.1445
10.5799,3503.1651
10.6019,3525.8909
10.6239,3492.2291
10.6459,3435.4159
10.6679,3336.2074
10.6899,3409.3767
10.7119,3417.0265
10.7339,3411.5801
10.7559,3379.6308
10.7779,3367.823
10.7999,3334.7704
10.8219,3471.9706
10.8439,3442.292
10.8659,3281.9763
10.8879,3366.181
10.9099,3395.5221
10.9319,3406.9405
10.9539,3342.771
10.9759,3454.3451
10.9979,3471.5909
11.0199,3451.7364
11.0419,3289.1327
11.0639,3232.8157
11.0859,3347.3559
11.1079,3286.4381
11.1299,3312.6352
11.1519,3244.9474
11.1739,3205.9616
11.1959,3214.061
11.2179,3291.7236
11.2399,3206.6666
11.2619,3146.9685
11.2839,3166.1362
11.3059,3207.9823
11.3279,3216.0866
11.3499,3272.7749
11.3719,3288.3524
11.3939,3214.1406
11.4159,3242.1352
11.4379,3194.8082
11.4599,3143.9189
11.4819,3126.585
11.5039,3142.677
11.5259,3214.8103
11.5479,3235.5132
11.5699,3111.7609
11.5919,3054.4018
11.6139,3149.6047
11.6359,3139.0856
11.6579,3161.4032
11.6799,3142.5383
11.7019,3145.3275
11.7239,3164.2266
11.7459,3111.6519
11.7679,3086.9174
11.7899,3007.3923
11.8119,3036.5222
11.8339,3172.8703
11.8559,3124.0313
11.8779,3063.2478
11.8999,3060.0885
11.9219,3114.9627
11.9439,3081.8834
11.9659,2996.5605
11.9879,3058.2248
12.0099,3162.1043
12.0319,3125.0751
12.0539,3044.0639
12.0759,3069.6284
12.0979,3116.6726
12.1199,3135.2414
12.1419,3159.118
12.1639,3237.972
12.1859,3265.8289
12.2079,3206.6946
12.2299,3182.2802
12.2519,3126.3638
12.2739,3028.5879
12.2959,3117.009
12.3179,3117.8603
12.3399,2946.8499
12.3619,3079.7465
