Pos. [°2?],Intensity [Counts]
6.9279,6219.5123
6.9499,6131.6283
6.9719,6094.3559
6.9939,6037.5634
7.0159,6111.9396
7.0379,5960.175
7.0599,6116.5399
7.0819,6107.0678
7.1039,6063.762
7.1259,6150.0335
7.1479,6134.0619
7.1699,5927.3293
7.1919,5965.4528
7.2139,5980.2566
7.2359,6066.532
7.2579,6036.2625
7.2799,6075.0339
7.3019,5950.3795
7.3239,5978.3024
7.3459,5907.6371
7.3679,6112.7988
7.3899,5766.2586
7.4119,5847.2419
7.4339,5921.3717
7.4559,5831.0545
7.4779,5758.7021
7.4999,5744.3997
7.5219,5796.5526
7.5439,5794.1372
7.5659,5815.9656
7.5879,5832.6824
7.6099,5791.9115
7.6319,5809.5472
7.6539,5787.2497
7.6759,5708.4661
7.6979,5801.6047
7.7199,5727.3898
7.7419,5660.5044
7.7639,5715.3038
7.7859,5714.057
7.8079,5699.6194
7.8299,5632.1417
7.8519,5755.6986
7.8739,5680.003
7.8959,5698.1308
7.9179,5728.6893
7.9399,5703.4513
7.9619,5633.2232
7.9839,5657.5237
8.0059,5710.0206
8.0279,5593.9061
8.0499,5575.8505
8.0719,5483.41
8.0939,5452.6274
8.1159,5576.6347
8.1379,5543.5398
8.1599,5522.7685
8.1819,5610.4868
8.2039,5653.9439
8.2259,5634.586
8.2479,5652.2984
8.2699,5667.9262
8.2919,5596.4827
8.3139,5517.9774
8.3359,5584.6372
8.3579,5671.3658
8.3799,5655.2832
8.4019,5612.2419
8.4239,5530.351
8.4459,5497.3255
8.4679,5481.2802
8.4899,5479.8663
8.5119,5468.7227
8.5339,5530.0354
8.5559,5473.9306
8.5779,5439.9095
8.5999,5414.8717
8.6219,5403.8161
8.6439,5478.0649
8.6659,5410.823
8.6879,5463.9086
8.7099,5473.1573
8.7319,5358.0663
8.7539,5511.6668
8.7759,5547.6185
8.7979,5420.2389
8.8199,5275.9488
8.8419,5445.1584
8.8639,5339.9734
8.8859,5466.9775
8.9079,5351.4704
8.9299,5294.8318
8.9519,5353.9646
8.9739,5343.9862
8.9959,5430.559
9.0179,5284.4798
9.0399,5245.7483
9.0619,5274.3953
9.0839,5352.9715
9.1059,5336.5113
9.1279,5319.2257
9.1499,5375.944
9.1719,5215.3909
9.1939,5340.3747
9.2159,5478.2414
9.2379,5429.2173
9.2599,5387.1666
9.2819,5293.006
9.3039,5448.3815
9.3259,5451.3185
9.3479,5259.419
9.3699,5400.7089
9.3919,5326.2359
9.4139,5247.4091
9.4359,5333.4719
9.4579,5277.6962
9.4799,5259.5187
9.5019,5327.6343
9.5239,5411.9777
9.5459,5229.9853
9.5679,5358.0005
9.5899,5333.5693
9.6119,5315.7738
9.6339,5214.942
9.6559,5292.5074
9.6779,5268.4257
9.6999,5192.8014
9.7219,5251.0001
9.7439,5366.0507
9.7659,5410.3992
9.7879,5280.1076
9.8099,5168.0325
9.8319,5210.1824
9.8539,5304.888
9.8759,5344.85
9.8979,5274.4169
9.9199,5248.3893
9.9419,5294.2351
9.9639,5298.5284
9.9859,5211.2272
10.0079,5241.2596
10.0299,5235.9813
10.0519,5257.621
10.0739,5253.2684
10.0959,5209.9538
10.1179,5256.239
10.1399,5327.5634
10.1619,5329.7119
10.1839,5243.1459
10.2059,5243.1318
10.2279,5311.8614
10.2499,5391.1298
10.2719,5391.4483
10.2939,5344.1121
10.3159,5337.8053
10.3379,5338.0236
10.3599,5307.6489
10.3819,5259.6342
10.4039,5161.4463
10.4259,5256.9893
10.4479,5244.823
10.4699,5124.2575
10.4919,5088.5025
10.5139,5102.4602
10.5359,5117.0536
10.5579,5156.1397
10.5799,5095.7817
10.6019,5130.6647
10.6239,5056.6356
10.6459,5174.0738
10.6679,5117.1371
10.6899,5169.8919
10.7119,4965.6945
10.7339,5185.9323
10.7559,5211.8299
10.7779,5184.6519
10.7999,5015.3268
10.8219,5061.6539
10.8439,5093.4174
10.8659,5095
10.8879,5049.4095
10.9099,5045.0531
10.9319,4941.5624
10.9539,5068.9243
10.9759,5059.1888
10.9979,5122.3599
11.0199,5192.2433
11.0419,5135.3629
11.0639,5185.3028
11.0859,5095.2901
11.1079,5106.8407
11.1299,5090.3088
11.1519,5196.1371
11.1739,5070.8997
11.1959,5034.2626
11.2179,5065.8663
11.2399,5101.5
11.2619,5143.3383
11.2839,5220.7664
11.3059,5074.5752
11.3279,5064.0359
11.3499,5044.4031
11.3719,5027.4601
11.3939,4980.3864
11.4159,4983.4494
11.4379,5073.177
11.4599,5048.4439
11.4819,5041.9047
11.5039,5069.6902
11.5259,5051.529
11.5479,5084.3083
11.5699,5046.5279
11.5919,4923.7129
11.6139,4979.6687
11.6359,4982.494
11.6579,4898.1907
11.6799,4899.2867
11.7019,5018.3099
11.7239,5057.4394
11.7459,5032.7651
11.7679,5046.4468
11.7899,5011.1239
11.8119,5045.1101
11.8339,5109.7966
11.8559,5044.6552
11.8779,4913.3845
11.8999,4883.6947
11.9219,4944.3443
11.9439,5022.3997
11.9659,5041.0177
11.9879,5070.4597
12.0099,5122.005
12.0319,5072.6843
12.0539,5099.5724
12.0759,5100.0054
12.0979,5142.4779
12.1199,5125.3603
12.1419,5215.6963
12.1639,5209.8082
12.1859,5205.7218
12.2079,5153.3274
12.2299,5055.7433
12.2519,4995.7895
12.2739,5045.0364
12.2959,5016.0619
12.3179,5056.9007
12.3399,5020.0958
12.3619,5031.9794
12.3839,4993.8751
12.4059,4973.1829
12.4279,4887.1312
12.4499,4877.5841
12.4719,4930.298
12.4939,4991.0354
12.5159,5072.0025
12.5379,4997.2753
12.5599,5053.0015
12.5819,4985.7699
12.6039,4990.1446
12.6259,5102.9794
12.6479,4973.6789
12.6699,4990.1741
12.6919,4949.9292
12.7139,4997.5182
12.7359,4854.2877
12.7579,4969.6725
12.7799,4884.6505
12.8019,5018.0059
12.8239,5066.3289
12.8459,5057.707
12.8679,5116.1913
12.8899,5152.3096
12.9119,5011.3811
12.9339,5089.526
12.9559,4981.2655
12.9779,4997.7639
12.9999,4898.4411
13.0219,5043.6165
13.0439,5023.3359
13.0659,5164.9331
13.0879,5083.6504
13.1099,5058.7179
13.1319,5138.9081
13.1539,5125.6371
13.1759,5055.2139
13.1979,5044.6823
