Angle,Counts
5.9644,2362.3972
5.9754,2321.1858
5.9864,2311.1253
5.9974,2275.6273
6.0084,2307.4794
6.0194,2349.7738
6.0304,2292.9577
6.0414,2249.1534
6.0524,2249.1387
6.0634,2276.589
6.0744,2271.5442
6.0854,2251.8564
6.0964,2234.4031
6.1074,2189.2212
6.1184,2199.6588
6.1294,2216.2989
6.1404,2202.5148
6.1514,2243.1279
6.1624,2270.5595
6.1734,2216.0354
6.1844,2202.5015
6.1954,2224.5644
6.2064,2208.8525
6.2174,2221.7375
6.2284,2158.4286
6.2394,2158.3806
6.2504,2235.1844
6.2614,2222.0727
6.2724,2224.0664
6.2834,2158.7974
6.2944,2221.6038
6.3054,2149.345
6.3164,2176.5537
6.3274,2157.8957
6.3384,2170.7611
6.3494,2177.3717
6.3604,2180.9902
6.3714,2178.4336
6.3824,2145.2925
6.3934,2189.4238
6.4044,2161.7094
6.4154,2153.4307
6.4264,2174.5629
6.4374,2134.7551
6.4484,2169.2021
6.4594,2128.8741
6.4704,2277.0311
6.4814,2197.4591
6.4924,2109.6101
6.5034,2161.8732
6.5144,2125.6411
6.5254,2101.471
6.5364,2091.4911
6.5474,2186.7719
6.5584,2088.1789
6.5694,2069.2832
6.5804,2124.6972
6.5914,2094.3098
6.6024,2139.8437
6.6134,2180.0422
6.6244,2091.9755
6.6354,2149.7698
6.6464,2039.891
6.6574,2190.3893
6.6684,2055.8628
6.6794,2047.0994
6.6904,2141.0698
6.7014,2082.177
6.7124,2127.7645
6.7234,2072.1544
6.7344,2079.3334
6.7454,2095.9675
6.7564,2041.1525
6.7674,2087.5663
6.7784,2047.5182
6.7894,2110.3373
6.8004,2143.997
6.8114,2081.9312
6.8224,2119.5452
6.8334,2075.0177
6.8444,2064.058
6.8554,2111.2635
6.8664,2107.9822
6.8774,2034.6362
6.8884,2027.357
6.8994,2106.1033
6.9104,2161.5536
6.9214,2138.2389
6.9324,2101.0103
6.9434,2069.6047
6.9544,2093.4872
6.9654,2094.2566
6.9764,2081.3707
6.9874,2095.5379
6.9984,2117.0797
7.0094,2100.1416
7.0204,2080.1283
7.0314,2088.0177
7.0424,2082.5108
7.0534,2089.2773
7.0644,2074.6548
7.0754,2077.8122
7.0864,2050.2015
7.0974,2072.2272
7.1084,2130.7832
7.1194,2089.4768
7.1304,2077.1475
7.1414,2119.9646
7.1524,2071.0924
7.1634,2031.708
7.1744,2052.7242
7.1854,2131.06
7.1964,2053.3716
7.2074,2086.8123
7.2184,2117.6327
7.2294,2094.1268
7.2404,2067.6986
7.2514,2103.4278
7.2624,2121.0266
7.2734,2118.1554
7.2844,2158.4047
7.2954,2104.1386
7.3064,2004.0024
7.3174,2103.4416
7.3284,2006.2728
7.3394,1997.8535
7.3504,2072.8172
7.3614,2053.7787
7.3724,2019.9749
7.3834,2093.59
7.3944,1992.6961
7.4054,1992.9135
7.4164,2030.2198
7.4274,2041.469
7.4384,2047.7198
7.4494,2005.5142
7.4604,2064.6284
7.4714,2069.9607
7.4824,1994.0197
7.4934,2003.0178
7.5044,2071.8924
7.5154,2101.5614
7.5264,2040.9675
7.5374,2023.5979
7.5484,2042.8087
7.5594,1996.6018
7.5704,2042.6898
7.5814,2037.7847
7.5924,2078.5884
7.6034,1995.0285
7.6144,2023.7469
7.6254,2062.4512
7.6364,1990.6136
7.6474,2054.8132
7.6584,2046.8318
7.6694,2030.8958
7.6804,2069.1573
7.6914,2019.8967
7.7024,1988.3796
7.7134,2030.056
7.7244,2007.4587
7.7354,2047.6795
7.7464,2068.2045
7.7574,2031.8231
7.7684,2059.2546
7.7794,2015.9764
7.7904,2025.9956
7.8014,2076.7945
7.8124,2080.3712
7.8234,2043.0353
7.8344,2012.8703
7.8454,2060
7.8564,2019.6459
7.8674,1960.5388
7.8784,1984.476
7.8894,2024.5723
