Pos. [°2?],Intensity [Counts]
5.1504,2918.0531
5.1614,2905.769
5.1724,2915.9729
5.1834,2861.4336
5.1944,2851.7438
5.2054,2803.7178
5.2164,2825.9883
5.2274,2881.1022
5.2384,2839.236
5.2494,2819.059
5.2604,2844.3063
5.2714,2808.1445
5.2824,2776.9602
5.2934,2716.3107
5.3044,2698.0934
5.3154,2751.5015
5.3264,2681.5486
5.3374,2679.9361
5.3484,2670.6504
5.3594,2666.5811
5.3704,2624.4533
5.3814,2644.7345
5.3924,2599.9469
5.4034,2632.6244
5.4144,2590.292
5.4254,2559.1121
5.4364,2492.6656
5.4474,2508.2596
5.4584,2477.323
5.4694,2521.2557
5.4804,2439.1902
5.4914,2429
5.5024,2461.0723
5.5134,2491.2684
5.5244,2439.1598
5.5354,2374.7296
5.5464,2343.0192
5.5574,2415.6372
5.5684,2384.9454
5.5794,2407.7876
5.5904,2392.4553
5.6014,2362.9793
5.6124,2223.966
5.6234,2251.7119
5.6344,2235.3112
5.6454,2309.0384
5.6564,2347.6372
5.6674,2287.6106
5.6784,2282.0531
5.6894,2277.0049
5.7004,2265.3732
5.7114,2296.0413
5.7224,2213.9233
5.7334,2182.35
5.7444,2139.0709
5.7554,2270.9773
5.7664,2153.1932
5.7774,2134.2921
5.7884,2237.4651
5.7994,2213.2949
5.8104,2143.4956
5.8214,2225.4257
5.8324,2152.6008
5.8434,2120.7493
5.8544,2095.0973
5.8654,2070.5674
5.8764,2150.1681
5.8874,2128.7187
5.8984,2069.5811
5.9094,2092.1623
5.9204,2111.9425
5.9314,2129.8446
5.9424,2125.972
5.9534,2124.2379
5.9644,2101.2615
5.9754,2073.2566
5.9864,2037.0664
5.9974,2034.4425
6.0084,2077.8629
6.0194,2080.5673
6.0304,2035.5393
6.0414,2044.2242
6.0524,2061.4567
6.0634,2047.1691
6.0744,2019.9513
6.0854,1972.9095
6.0964,1989.4204
6.1074,2006.0767
6.1184,1999.8702
6.1294,1969.6352
6.1404,1950.5915
6.1514,1955.6952
6.1624,1996.6431
6.1734,2010.6902
6.1844,2003.324
6.1954,2042.1406
6.2064,2046.1593
6.2174,2017.7414
6.2284,1999.5885
6.2394,1932.8023
6.2504,1968.1033
6.2614,1942.1651
6.2724,1948.1815
6.2834,1953.7807
6.2944,1978.4263
6.3054,2030.0531
6.3164,1962.0471
6.3274,2005.7326
6.3384,2036.5516
6.3494,1947.6224
6.3604,1929.4779
6.3714,1870.8318
6.3824,1917.5084
6.3934,1943.2852
6.4044,1944.2021
6.4154,1926.9852
6.4264,1912.3073
6.4374,1951.7404
6.4484,1916.7979
6.4594,1916.7345
6.4704,1911.8982
6.4814,1953.4307
6.4924,1903.4316
6.5034,1907.9027
6.5144,1851.9075
6.5254,1897.3894
6.5364,1918.9631
6.5474,1897.9725
6.5584,1883.4199
6.5694,1838.7964
6.5804,1852.9189
6.5914,1831.8329
6.6024,1951.7316
6.6134,1937.4965
6.6244,1919.2433
6.6354,1857.4307
6.6464,1832.7085
6.6574,1852.3717
6.6684,1808.7699
6.6794,1794.5753
6.6904,1857.825
6.7014,1849.2596
6.7124,1852.8471
6.7234,1857.825
6.7344,1832.3334
6.7454,1862.3677
6.7564,1826.0212
6.7674,1881.9203
6.7784,1831.3024
6.7894,1865.2782
6.8004,1852.0797
6.8114,1914.8918
6.8224,1880.4951
6.8334,1847.2035
6.8444,1830.9347
6.8554,1912.8309
6.8664,1881.9734
6.8774,1889.2813
6.8884,1904.3043
6.8994,1866.3186
6.9104,1864.9203
6.9214,1858.9027
6.9324,1892.0428
6.9434,1881.9911
6.9544,1829.4257
6.9654,1815.9381
6.9764,1832.5767
6.9874,1846.8034
6.9984,1854.2227
7.0094,1786.6155
7.0204,1810.4032
7.0314,1837.5958
7.0424,1818.7921
7.0534,1845.6008
7.0644,1841.4026
7.0754,1820.9754
7.0864,1817.6799
7.0974,1837.3127
7.1084,1843.4007
7.1194,1851.1308
7.1304,1840.5074
7.1414,1785.1209
7.1524,1847.0881
7.1634,1857.9469
7.1744,1822.1755
7.1854,1817.0118
7.1964,1845.3157
7.2074,1839.9253
7.2184,1850.3943
7.2294,1798.9793
7.2404,1822.1195
7.2514,1847.9322
7.2624,1890.3452
7.2734,1831.4896
7.2844,1895.153
7.2954,1891.2271
7.3064,1856.6027
7.3174,1862.2714
7.3284,1815.1769
7.3394,1782.2478
7.3504,1785.6947
7.3614,1837.3009
7.3724,1850.2773
7.3834,1828.704
7.3944,1756.382
7.4054,1767.3284
7.4164,1734.6376
7.4274,1780.9322
7.4384,1751.588
7.4494,1758.6903
7.4604,1744.3318
7.4714,1778.6559
7.4824,1705.209
7.4934,1789.646
7.5044,1767.1357
