Angle,Counts
8.1379,4861.2213
8.1599,4848.0437
8.1819,4707.2281
8.2039,4672.2257
8.2259,4725.2065
8.2479,4716.5246
8.2699,4771.3334
8.2919,4802.056
8.3139,4759.8495
8.3359,4690.2079
8.3579,4646
8.3799,4712.5531
8.4019,4724.0649
8.4239,4618.8564
8.4459,4586.5939
8.4679,4614.8319
8.4899,4730.5183
8.5119,4677.9788
8.5339,4608.1062
8.5559,4635.6893
8.5779,4644.2055
8.5999,4665.9027
8.6219,4559.4267
8.6439,4542.2345
8.6659,4533.1416
8.6879,4517.5909
8.7099,4565.4641
8.7319,4538.3672
8.7539,4538.2222
8.7759,4479.5845
8.7979,4576.1328
8.8199,4555.1209
8.8419,4550.6155
8.8639,4441.2212
8.8859,4540.9165
8.9079,4422.9257
8.9299,4473.7168
8.9519,4522.2011
8.9739,4411.7118
8.9959,4472.9514
9.0179,4541.9931
9.0399,4517.9356
9.0619,4471.3569
9.0839,4411.2714
9.1059,4383.6647
9.1279,4330.7035
9.1499,4457.8742
9.1719,4307.3053
9.1939,4334.4956
9.2159,4354.2822
9.2379,4328.9773
9.2599,4217.8614
9.2819,4339.1996
9.3039,4326.7035
9.3259,4312.2213
9.3479,4389.1292
9.3699,4251.0718
9.3919,4302.6711
9.4139,4296.1583
9.4359,4237.764
9.4579,4264.1976
9.4799,4294.7567
9.5019,4378.584
9.5239,4252.9469
9.5459,4186.4582
9.5679,4195.6505
9.5899,4204.8259
9.6119,4092.7424
9.6339,4137.3983
9.6559,4169.4351
9.6779,4105.2399
9.6999,4097.2154
9.7219,4152.239
9.7439,4187.2203
9.7659,4232.413
9.7879,4198.5058
9.8099,4116.7877
9.8319,4136.0767
9.8539,4144.8113
9.8759,4190.4454
9.8979,4123.586
9.9199,4147.1682
9.9419,4169.117
9.9639,4132.6047
9.9859,4145.4632
10.0079,4247.7478
10.0299,4228.6676
10.0519,4279.6727
10.0739,4353.8417
10.0959,4347.0694
10.1179,4345.9292
10.1399,4368.3776
10.1619,4454.5389
10.1839,4581.9647
10.2059,4620.9066
10.2279,4642.887
10.2499,4785.9647
10.2719,4818.9449
10.2939,4851.7955
10.3159,4768.8716
10.3379,4569.1513
10.3599,4332.2688
10.3819,4206.6371
10.4039,3990.8096
10.4259,3956.121
10.4479,3875.3377
10.4699,3839.9459
10.4919,3891.9165
10.5139,3830.6106
10.5359,3823.7871
10.5579,3852.5693
10.5799,3785.5899
10.6019,3824.5261
10.6239,3745.0555
10.6459,3797.6284
10.6679,3762.0211
10.6899,3669.6391
10.7119,3785.0089
10.7339,3758.0334
10.7559,3706.2905
10.7779,3643.761
10.7999,3721.797
10.8219,3735.532
10.8439,3662.2566
10.8659,3618.7335
10.8879,3679.0807
10.9099,3691.8053
10.9319,3634.3136
10.9539,3569.5713
10.9759,3650.3702
10.9979,3567.5349
11.0199,3584.5688
11.0419,3600.6992
11.0639,3660.6081
11.0859,3619.292
11.1079,3524.739
11.1299,3580.0482
11.1519,3657
11.1739,3635.7138
11.1959,3506.6402
11.2179,3571.0924
11.2399,3489.8334
11.2619,3545.5456
11.2839,3422.0762
11.3059,3444.6725
11.3279,3437.799
11.3499,3482.3254
11.3719,3382.5502
11.3939,3447.6028
11.4159,3436.7806
11.4379,3344.6372
11.4599,3379.8918
11.4819,3399.5448
11.5039,3447.9601
11.5259,3394.4799
11.5479,3451.2394
11.5699,3424.2744
11.5919,3455.0137
11.6139,3362.7698
11.6359,3299.8334
11.6579,3406.2183
11.6799,3477.2621
11.7019,3464.5929
11.7239,3343.698
11.7459,3314.9549
11.7679,3381.7655
11.7899,3362.1042
11.8119,3368.266
11.8339,3403.9204
11.8559,3350.8018
11.8779,3328.4032
11.8999,3363.0088
11.9219,3335.2124
11.9439,3295.0009
11.9659,3251.8259
11.9879,3299.1328
12.0099,3353.5497
12.0319,3380.7109
12.0539,3361.0639
12.0759,3332.1278
12.0979,3409.0443
12.1199,3575.1289
12.1419,3598.4346
12.1639,3527.7831
12.1859,3492.8771
12.2079,3422.9124
12.2299,3419.7522
12.2519,3417.2871
12.2739,3338.5653
12.2959,3312.2434
12.3179,3263.5575
12.3399,3357.5896
12.3619,3321.3451
12.3839,3366.8526
12.4059,3223.2899
12.4279,3275.1903
12.4499,3185.9802
12.4719,3332.7184
12.4939,3232.6459
12.5159,3135.5997
12.5379,3215.0758
12.5599,3351.6741
12.5819,3171.635
12.6039,3123.3525
12.6259,3296.0267
12.6479,3178.3052
12.6699,3169.1032
12.6919,3215.9381
12.7139,3352.653
12.7359,3247.641
12.7579,3104.9058
12.7799,3297.8643
12.8019,3256.0167
12.8239,3235.6652
12.8459,3301.7856
12.8679,3276.4557
12.8899,3184.646
12.9119,3181.6047
12.9339,3205.2056
12.9559,3341.4808
12.9779,3295.7247
12.9999,3280.6543
13.0219,3197.6991
13.0439,3181.4676
13.0659,3288.6047
13.0879,3309.8141
13.1099,3288.9665
13.1319,3252.0654
13.1539,3235.5516
13.1759,3264.469
13.1979,3265.232
13.2199,3221.3599
13.2419,3223.2419
13.2639,3283.1642
13.2859,3271.938
13.3079,3248.5079
13.3299,3305.6893
13.3519,3350.1151
13.3739,3346.1405
13.3959,3197.9419
13.4179,3187.5075
13.4399,3297.8943
13.4619,3346.4612
13.4839,3391.2168
13.5059,3397.2488
13.5279,3424.0133
13.5499,3456.8319
13.5719,3385.5048
13.5939,3349.417
13.6159,3455.6107
13.6379,3457.0973
13.6599,3459.1957
13.6819,3414.0707
13.7039,3485.5327
13.7259,3551.4444
13.7479,3494.5324
13.7699,3518.5487
13.7919,3594.7641
13.8139,3685.239
13.8359,3664.6179
13.8579,3647.2498
13.8799,3675.9646
13.9019,3741.5802
13.9239,3780.9926
13.9459,3872.1653
13.9679,4076.7096
13.9899,4180.9342
14.0119,4206.8761
14.0339,4386.6315
14.0559,4405.3849
14.0779,4531.1683
14.0999,4652.9214
14.1219,4822.0375
14.1439,4983.9411
14.1659,5133.0011
14.1879,5353.2121
14.2099,5568.7996
14.2319,5728.2228
14.2539,5863.421
14.2759,6180.6773
14.2979,6395.1486
14.3199,6545.0129
14.3419,6618.5812
14.3639,6444.4246
14.3859,6328.1012
14.4079,5905.0955
14.4299,5515.4805
14.4519,5029.8368
14.4739,4797.814
14.4959,4507.1202
14.5179,4333.3342
14.5399,4162.7991
14.5619,3851.3862
14.5839,3653.2916
14.6059,3683.3362
14.6279,3559.0652
14.6499,3392.5967
14.6719,3271.0841
14.6939,3273.5418
14.7159,3268.225
14.7379,3099.5899
14.7599,3062.9927
14.7819,3106.462
14.8039,2986.944
14.8259,3024.3402
14.8479,3002.8352
14.8699,2905.0354
14.8919,2908.2669
14.9139,2837.4986
14.9359,2878.295
14.9579,2836.4935
14.9799,2756.7827
15.0019,2762.0087
15.0239,2692.264
15.0459,2744.1299
15.0679,2783.6061
15.0899,2741.5497
15.1119,2759.6499
15.1339,2707.239
15.1559,2735.2798
15.1779,2729.0599
15.1999,2643.1666
15.2219,2615.2656
15.2439,2725.8039
15.2659,2789.5044
15.2879,2763.7325
15.3099,2741.4887
15.3319,2723.379
15.3539,2676.9774
15.3759,2674.8894
15.3979,2681.1652
15.4199,2618.7875
15.4419,2580.4278
15.4639,2620.2744
15.4859,2653.7768
15.5079,2644.8127
15.5299,2551.6842
15.5519,2552.6014
15.5739,2563.8957
15.5959,2534.5973
15.6179,2541.414
15.6399,2550.4995
15.6619,2528.4247
15.6839,2507.8559
15.7059,2523.1908
15.7279,2566.0281
15.7499,2575.1367
15.7719,2562.2193
15.7939,2619.1387
15.8159,2644
15.8379,2599.1346
15.8599,2574.0265
15.8819,2580.121
15.9039,2667.9608
15.9259,2595.7019
15.9479,2534.731
15.9699,2580.2193
15.9919,2574.9262
16.0139,2631.8693
16.0359,2658.384
16.0579,2733.1063
16.0799,2845.1304
16.1019,2832.6273
16.1239,2934.6432
16.1459,2868.0412
16.1679,2650.2712
16.1899,2671.1505
16.2119,2695.7222
16.2339,2453.0322
16.2559,2458.4735
16.2779,2529.6549
16.2999,2478.3387
16.3219,2352.1683
16.3439,2547.5628
16.3659,2466.464
16.3879,2351.6047
16.4099,2300.0374
