Pos. [°2?],Intensity [Counts]
8.3359,4739.4735
8.3579,4710.8406
8.3799,4671.9922
8.4019,4667.3628
8.4239,4695.8466
8.4459,4627.0304
8.4679,4631.6874
8.4899,4602.8869
8.5119,4622.3299
8.5339,4567.2831
8.5559,4562.031
8.5779,4598.6273
8.5999,4578.3304
8.6219,4620.2105
8.6439,4641.5674
8.6659,4514.9498
8.6879,4522.827
8.7099,4513.3785
8.7319,4497.1106
8.7539,4512.8889
8.7759,4410.5506
8.7979,4373.9764
8.8199,4442.06
8.8419,4405.0757
8.8639,4432.6047
8.8859,4457.882
8.9079,4311.5599
8.9299,4280.9911
8.9519,4411.4829
8.9739,4326.2222
8.9959,4360.649
9.0179,4270.6224
9.0399,4383.0079
9.0619,4370.1032
9.0839,4402.675
9.1059,4334.8151
9.1279,4391.2168
9.1499,4160.228
9.1719,4212.9208
9.1939,4208.5251
9.2159,4310.7748
9.2379,4247.3382
9.2599,4188.0016
9.2819,4375.5928
9.3039,4195.8275
9.3259,4222.9822
9.3479,4083.2423
9.3699,4018.3875
9.3919,4137.4352
9.4139,4228.942
9.4359,4160.4031
9.4579,4052.1593
9.4799,4071.5472
9.5019,4030.2832
9.5239,4065.3098
9.5459,4097.4985
9.5679,4060.8359
9.5899,4118.5397
9.6119,4037.4553
9.6339,4119.2183
9.6559,4031.5604
9.6779,3969.5143
9.6999,4068.7385
9.7219,4047.6814
9.7439,3997.1318
9.7659,4000.8682
9.7879,3927.5266
9.8099,4017.2331
9.8319,4060.0363
9.8539,3977.4985
9.8759,3942.0462
9.8979,4007.6186
9.9199,4075.5487
9.9419,4053.6755
9.9639,4047.9159
9.9859,4108.2508
10.0079,4121.2905
10.0299,4069.2104
10.0519,4070.4144
10.0739,4067.3353
10.0959,4067.9769
10.1179,4101.1062
10.1399,4091.7266
10.1619,4079.8338
10.1839,4111.1106
10.2059,4190.6785
10.2279,4349.4327
10.2499,4453.9056
10.2719,4341.9433
10.2939,4166.6391
10.3159,4104.8451
10.3379,4087.0826
10.3599,3899.0933
10.3819,3859.4248
10.4039,3797.7467
10.4259,3788.3402
10.4479,3741.789
10.4699,3684.6489
10.4919,3671.2512
10.5139,3618.4867
10.5359,3713.3629
10.5579,3628.1533
10.5799,3610.3628
10.6019,3601.0364
10.6239,3499.2979
10.6459,3583.1859
10.6679,3641.2724
10.6899,3557.764
10.7119,3527.3097
10.7339,3594.8339
10.7559,3579.8009
10.7779,3661.4956
10.7999,3462.8096
10.8219,3475.7935
10.8439,3520.5443
10.8659,3431.0589
10.8879,3558.9214
10.9099,3512.9026
10.9319,3602.5079
10.9539,3410.3786
10.9759,3466.5531
10.9979,3544.175
11.0199,3486.4685
11.0419,3447.115
11.0639,3344.7197
11.0859,3317.4161
11.1079,3516.3717
11.1299,3509.1632
11.1519,3416.1775
11.1739,3400.2654
11.1959,3338.8363
11.2179,3365.0875
11.2399,3378.3333
11.2619,3379.3275
11.2839,3438.1651
11.3059,3326.8585
11.3279,3354.7836
11.3499,3276.9372
11.3719,3343.8893
11.3939,3226.1298
11.4159,3252.7252
11.4379,3243.9145
11.4599,3266.2817
11.4819,3230.8103
11.5039,3286.1372
11.5259,3311.4503
11.5479,3259.0122
11.5699,3194.4455
11.5919,3238.2596
11.6139,3257.1121
11.6359,3273.4809
11.6579,3293.1868
11.6799,3251.35
11.7019,3217.9911
11.7239,3208.3432
11.7459,3184.3932
11.7679,3180.6343
11.7899,3224.5014
11.8119,3185.1834
11.8339,3147.646
11.8559,3110.7704
11.8779,3169.0335
11.8999,3140.8627
11.9219,3112.8614
11.9439,3206.6377
11.9659,3220.0855
11.9879,3223.7355
12.0099,3245.8063
12.0319,3169.466
12.0539,3214.2154
12.0759,3291.913
12.0979,3238.7521
12.1199,3250.3983
12.1419,3254.2114
12.1639,3261.0723
12.1859,3262.0482
12.2079,3245.558
12.2299,3213.3687
12.2519,3184.6986
12.2739,3128.1288
12.2959,3148.0753
12.3179,3113.8643
12.3399,3115.6244
12.3619,3160.4691
12.3839,3082.3618
12.4059,3119.0846
12.4279,3146.1165
12.4499,3179.3363
12.4719,3137.1219
12.4939,3130.7345
12.5159,3124.8432
12.5379,3119.5408
12.5599,3158.7817
12.5819,3122.6775
12.6039,3080.9228
12.6259,3106.2301
12.6479,3240.508
12.6699,3149.4758
12.6919,3115.6858
12.7139,3105.0983
12.7359,3088.0467
12.7579,3107.7228
12.7799,3156.1893
12.8019,3160.7974
12.8239,3105.2964
12.8459,3078.4101
12.8679,3143.9907
12.8899,3155.823
12.9119,3142.7118
12.9339,3057.3787
12.9559,3178.1254
12.9779,3169.7767
12.9999,3133.8929
13.0219,3249.4011
13.0439,3205.1745
13.0659,3183.0206
13.0879,3090.3673
13.1099,3144.946
13.1319,3234.8682
13.1539,3194.5014
13.1759,3115.883
13.1979,3149.8023
13.2199,3101.8186
13.2419,3113.6952
13.2639,3168.3393
13.2859,3230.3982
13.3079,3241.8467
13.3299,3286.2605
13.3519,3264.3821
13.3739,3306.3097
13.3959,3277.4931
13.4179,3292.5133
13.4399,3346.0211
13.4619,3347.4887
13.4839,3368.2921
13.5059,3359.878
13.5279,3346.1367
13.5499,3442.6697
13.5719,3442.7123
13.5939,3290.8101
13.6159,3280.8334
13.6379,3356.2301
13.6599,3394.2286
13.6819,3407.6903
13.7039,3422.0143
13.7259,3468
13.7479,3539.6992
13.7699,3564.9774
13.7919,3582.4745
13.8139,3558.879
13.8359,3592.4671
13.8579,3656.4307
13.8799,3815.717
13.9019,3918.886
13.9239,3895.6927
13.9459,3933.6343
13.9679,4055.3246
13.9899,4116.2793
14.0119,4204.8334
14.0339,4242.821
14.0559,4437.3798
14.0779,4583.9824
14.0999,4649.7542
14.1219,4748.2243
14.1439,4988.4206
14.1659,5254.3581
14.1879,5409.3359
14.2099,5593.2362
14.2319,5727.5901
14.2539,5986.0022
14.2759,6201.4294
14.2979,6367.2696
14.3199,6386.1126
14.3419,6384.2006
14.3639,6162.3847
14.3859,6028.2369
14.4079,5590.9834
14.4299,5340.9133
14.4519,4879.1766
14.4739,4638.0794
14.4959,4415.1365
14.5179,4209.399
14.5399,3883.4409
14.5619,3730.0874
14.5839,3562.8501
14.6059,3608.3362
14.6279,3486.0879
14.6499,3353.463
14.6719,3245.5751
14.6939,3134.6982
14.7159,3151.6337
14.7379,3072.115
14.7599,2998.063
14.7819,3036.239
14.8039,3039.8553
14.8259,2906.3973
14.8479,2936.464
14.8699,2822.3894
14.8919,2816.3417
14.9139,2805.419
14.9359,2827.6975
14.9579,2704.24
14.9799,2762.6455
15.0019,2735.2359
15.0239,2695.8422
15.0459,2700.6372
15.0679,2722.5708
15.0899,2725.9222
15.1119,2651.0619
15.1339,2647.2124
15.1559,2670.7984
15.1779,2674.3638
15.1999,2641.9749
15.2219,2649.1338
15.2439,2683.4872
15.2659,2692.8673
15.2879,2692.6036
15.3099,2679.6461
15.3319,2739.0561
15.3539,2703.4906
15.3759,2552.136
15.3979,2510.6166
15.4199,2551.8938
15.4419,2563.5694
15.4639,2595.7876
15.4859,2566.1356
15.5079,2520.3013
15.5299,2543.8201
15.5519,2510.2172
15.5739,2467.4681
15.5959,2563.8453
15.6179,2591.9203
15.6399,2564.7512
15.6619,2580.1151
15.6839,2566.97
15.7059,2503.7069
15.7279,2513.7242
15.7499,2507.6647
15.7719,2568.9583
15.7939,2586.4926
15.8159,2585.3392
15.8379,2652.4593
15.8599,2619.9159
15.8819,2648.1249
15.9039,2626.6986
15.9259,2523.4099
15.9479,2486.0457
15.9699,2601.9588
15.9919,2552.7757
16.0139,2663.5754
16.0359,2730.4597
16.0579,2691.646
16.0799,2719.6987
16.1019,2815.065
16.1239,2903.9942
16.1459,2796.8307
16.1679,2753.7246
16.1899,2529.1472
16.2119,2525.2778
16.2339,2448.5043
16.2559,2466.3186
16.2779,2453.2615
16.2999,2393.3834
16.3219,2393.6696
16.3439,2340.0011
16.3659,2447.8781
16.3879,2443.6578
16.4099,2431.8151
16.4319,2361.0777
16.4539,2378.1505
16.4759,2399.966
