Pos. [°2?],Intensity [Counts]
7.5439,4942.3231
7.5659,5147.761
7.5879,5069.6824
7.6099,5032.6549
7.6319,5075.3584
7.6539,5076.9607
7.6759,5030.9056
7.6979,4975.9636
7.7199,5056.2055
7.7419,5075.938
7.7639,4956.937
7.7859,4932.6412
7.8079,5094.3967
7.8299,4970.8938
7.8519,5008.4002
7.8739,4899.4071
7.8959,4880.0103
7.9179,4910.6785
7.9399,4880.6327
7.9619,4850.2704
7.9839,4831.4331
8.0059,4830.6018
8.0279,4783.0383
8.0499,4692.472
8.0719,4712.6874
8.0939,4765.8682
8.1159,4718.0615
8.1379,4725.5929
8.1599,4592.0476
8.1819,4547.9303
8.2039,4656.9439
8.2259,4573.8574
8.2479,4592.1151
8.2699,4639.3657
8.2919,4682.7449
8.3139,4754.0206
8.3359,4688.2212
8.3579,4632.3215
8.3799,4651.4597
8.4019,4607.82
8.4239,4503.6588
8.4459,4473.9027
8.4679,4523.0236
8.4899,4439.3303
8.5119,4403.2734
8.5339,4375.1239
8.5559,4419.383
8.5779,4390.4906
8.5999,4482.0546
8.6219,4461.3726
8.6439,4448.6244
8.6659,4395.525
8.6879,4344.8456
8.7099,4380.1918
8.7319,4434.8053
8.7539,4413.5555
8.7759,4372.3972
8.7979,4289.3805
8.8199,4300.3274
8.8419,4287.9803
8.8639,4295.7493
8.8859,4243.5024
8.9079,4312.6072
8.9299,4271.5575
8.9519,4145.8431
8.9739,4253.4937
8.9959,4225.9159
9.0179,4127.6224
9.0399,4209.0684
9.0619,4140.9115
9.0839,4068.6878
9.1059,4042.6136
9.1279,4101.2036
9.1499,4179.9233
9.1719,4094.1406
9.1939,4024.3806
9.2159,4243.8058
9.2379,4150.0983
9.2599,3997.5074
9.2819,4053.8919
9.3039,4076.5541
9.3259,4058.6637
9.3479,4027.6809
9.3699,3961.8761
9.3919,4035.1475
9.4139,4058.3766
9.4359,4092.1971
9.4579,3974.8141
9.4799,3932.8481
9.5019,3893.173
9.5239,3881.5885
9.5459,3957.5772
9.5679,3963.4179
9.5899,3976.9675
9.6119,3879.971
9.6339,3902.1917
9.6559,3900.2817
9.6779,3873.3638
9.6999,3806.6937
9.7219,3813.3274
9.7439,3813.118
9.7659,3779.9705
9.7879,3803.593
9.8099,3831.6126
9.8319,3794.6794
9.8539,3856.2272
9.8759,3921.3008
9.8979,3843.2419
9.9199,3827.4336
9.9419,3828.9095
9.9639,3819.1008
9.9859,3831.1092
10.0079,3859.6972
10.0299,3835.5978
10.0519,3784.3908
10.0739,3802.0669
10.0959,3841.2753
10.1179,3827.1062
10.1399,3830.8761
10.1619,3979.0709
10.1839,4145.59
10.2059,4244.2419
10.2279,4274.5885
10.2499,4371.6255
10.2719,4493.8309
10.2939,4466.4611
10.3159,4326.9291
10.3379,4153.6961
10.3599,3970.4704
10.3819,3793.4689
10.4039,3740
10.4259,3754.9499
10.4479,3682.7876
10.4699,3622.8043
10.4919,3581.3004
10.5139,3583.177
10.5359,3520.4916
10.5579,3472.7168
10.5799,3503.3009
10.6019,3539.7375
10.6239,3489.2463
10.6459,3434.4247
10.6679,3371.7856
10.6899,3417.001
10.7119,3392.8761
10.7339,3433.9666
10.7559,3309.1454
10.7779,3331.2508
10.7999,3418.797
10.8219,3411.0698
10.8439,3394.8731
10.8659,3470.6175
10.8879,3398.3392
10.9099,3406.8053
10.9319,3320.4705
10.9539,3376.2409
10.9759,3410.1755
10.9979,3371.0522
11.0199,3459.7054
11.0419,3342.0944
11.0639,3314.237
11.0859,3369.6617
11.1079,3341.8849
11.1299,3322.8987
11.1519,3255.645
11.1739,3275.0089
11.1959,3326.6888
11.2179,3344.348
11.2399,3277.3333
11.2619,3254.5802
11.2839,3335.0388
11.3059,3257.6814
11.3279,3194.6333
11.3499,3238.3186
11.3719,3272.7876
11.3939,3247.7257
11.4159,3247.0949
11.4379,3252.0767
11.4599,3225.3437
11.4819,3232.9813
11.5039,3228.5133
11.5259,3230.7355
11.5479,3201.3043
11.5699,3146.82
11.5919,3105.4739
11.6139,3085.532
11.6359,3167.652
11.6579,3197.1759
11.6799,3169.3737
11.7019,3219.9823
11.7239,3117.0825
11.7459,3056.183
11.7679,3097.8422
11.7899,3085.1613
11.8119,3119.2291
11.8339,3090.171
11.8559,3063.1598
11.8779,3137.9873
11.8999,3157.584
11.9219,3149.9538
11.9439,3160.6799
11.9659,3119.0796
11.9879,3130.2577
12.0099,3139.5132
12.0319,3073.8318
12.0539,3097.5507
12.0759,3114.2556
12.0979,3127.9027
12.1199,3165.3574
12.1419,3201.471
12.1639,3237.5841
12.1859,3185.0432
12.2079,3192.3737
12.2299,3117.0294
12.2519,3139.1003
12.2739,3096.7305
12.2959,3109.8053
12.3179,3056.41
12.3399,3020.5944
12.3619,3059.6431
12.3839,3023.4577
12.4059,3094.6274
12.4279,3043.2477
12.4499,3103.1554
12.4719,3035.7782
12.4939,3048.885
12.5159,3056.5182
12.5379,3003.4896
12.5599,2928.2861
12.5819,3081.3738
12.6039,3138.7208
12.6259,3056.3687
12.6479,2936.6046
12.6699,3077.769
12.6919,3006.7256
12.7139,2982.2261
12.7359,3055.7984
12.7579,2975.0768
12.7799,3045.6479
12.8019,2996.8427
12.8239,2995.3747
12.8459,3038.233
12.8679,3034.6205
12.8899,3119.2123
12.9119,3033.2551
12.9339,2983.9223
12.9559,2993.8599
12.9779,2965.709
12.9999,3015.7994
13.0219,3036.8703
13.0439,3077.4665
13.0659,3016.3304
13.0879,3055.8628
13.1099,2997.943
13.1319,3030.4628
13.1539,3131.2772
13.1759,3016.2202
13.1979,2956.7405
13.2199,3057.9985
13.2419,3036.3126
13.2639,3012.708
13.2859,3025.6106
13.3079,3000.2542
13.3299,3002.9941
13.3519,3017.3702
13.3739,3029.7482
13.3959,2997.0526
13.4179,3026.2567
13.4399,3022.734
13.4619,2979.4887
13.4839,3015.4248
13.5059,3094.5055
13.5279,3151.2291
13.5499,3113.7344
13.5719,3031.3593
13.5939,3022.1269
13.6159,3114.1978
13.6379,3186.0384
13.6599,3161.5098
13.6819,3159.8938
13.7039,3191.8653
13.7259,3280.4446
13.7479,3264.5014
13.7699,3180.2143
13.7919,3266.0827
13.8139,3309.1829
13.8359,3308.8933
13.8579,3413.1368
13.8799,3422.4468
13.9019,3375.4218
13.9239,3463.2602
13.9459,3487.8967
