"Easting","Northing"
400439,6468346
400510,6468319
400585,6468205
400400,6467920
400300,6467985
400165,6467925
400150,6467980
400005,6467975
399975,6467976
399908,6467972
399904,6468010
399970,6468045
399905,6468170
399920,6468176
399980,6468080
400050,6468100
400015,6468160
400035,6468190
400045,6468217
400045,6468250
400040,6468260
400055,6468277
400060,6468260
400080,6468205
400065,6468110
400200,6468110
400215,6468225
400145,6468285
400155,6468330
400190,6468345
400262,6468315
400320,6468300
400365,6468338
400410,6468355
400439,6468346
