"Sample","Easting","Northing","Type","Zone","Depth_top","Depth_bot","Quartz","Kaolinite","Illite","Feldspars","Biotite","Halite","Gypsum","Pyrite","Hornblende","Jarosite","Calcite","Palygorskite","Phlogopite","Haematite","Gibbsite","Rutile","Goethite","Dolomite","Nesquehonite","Halloysite","Clinochlore","Vermiculite","Magnetite","Thenardite","Cristobalite","Alunite","Tremolite","Artinite","Lepidocrocite","Cordierite","Talc"
"AFS21-1",400440,6468317,"Surface","Saltmarsh",0,10,6.5,37.3,35.6,15.9,NA,3.5,0.3,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-2",400472,6468321,"Surface","Saltmarsh",0,10,90.7,1.4,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-5",400475,6468289,"Surface","Saltmarsh",0,10,8.9,34.8,55.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-6",400517,6468291,"Surface","Saltmarsh",0,10,12.8,38.4,29,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-7",400331,6468227,"Surface","Saltmarsh",0,10,10.8,36.5,33.2,18.2,NA,1.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-8",400368,6468205,"Surface","Saltmarsh",0,10,6.1,46.7,30.4,15.5,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"AFS21-9",400432,6468225,"Surface","Saltmarsh",0,10,6.6,44.3,30.9,15.9,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-13",400380,6468248,"Surface","NE-pond",0,10,64.5,30.1,NA,2.9,NA,1,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-14",400395,6468248,"Surface","NE-pond",0,10,77.9,19.5,NA,NA,NA,0.6,NA,NA,NA,NA,1.2,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-15",400407,6468248,"Surface","NE-pond",0,10,57.3,41.5,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-16",400415,6468260,"Surface","NE-pond",0,10,8.9,63.1,NA,26.7,NA,0.9,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-17",400423,6468272,"Surface","NE-pond",0,10,4.9,34.5,34.4,25.1,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-18",400431,6468284,"Surface","NE-pond",0,10,11.8,33.4,38.1,15.9,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-19",400439,6468296,"Surface","NE-pond",0,10,16.7,26.8,39.2,15.6,NA,0.9,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-21",400455,6468320,"Surface","NE-pond",0,10,15.5,29.8,32.5,20.6,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"AFS21-22",400190,6468090,"Surface","SE-pond",0,10,29.6,19.6,21.2,26,NA,0.9,NA,1.9,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"AFS21-24",400204.4,6468066,"Surface","SE-pond",0,10,1.8,59.8,28.9,7.9,1.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-26",400218.8,6468043,"Surface","SE-pond",0,10,0.4,49.5,31.6,18.2,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-27",400226,6468031,"Surface","SE-pond",0,10,5.9,39.6,31.6,21.6,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-28",400518,6468224,"Surface","Saltmarsh",0,10,10.7,34.2,35.6,19.4,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"AFS21-30",400267,6468153,"Surface","Saltmarsh",0,10,16.6,26.5,40.1,16.2,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-31",400302,6468190,"Surface","Saltmarsh",0,10,39.5,13.5,22.2,23.5,NA,0.2,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA
"AFS21-33",400411,6468156,"Surface","Saltmarsh",0,10,38.8,17.9,20.4,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-34",400468,6468171,"Surface","Saltmarsh",0,10,56.9,4,3.5,31.2,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-35",400546,6468165,"Surface","Saltmarsh",0,10,8.1,50.8,20.4,20.3,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFS21-36",400577,6468196,"Surface","Saltmarsh",0,10,10,45.1,20.1,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
