"Angle","Counts"
3.00243322,25462
3.01329966,25175
3.0241661,24775
3.03503254,24683
3.04589898,24315
3.05676542,24227
3.06763186,23731
3.0784983,23771
3.08936474,23130
3.10023118,22972
3.11109762,22785
3.12196406,22560
3.1328305,22152
3.14369694,22003
3.15456338,21648
3.16542982,21530
3.17629626,21395
3.1871627,21432
3.19802914,20955
3.20889558,20920
3.21976202,20484
3.23062846,20256
3.2414949,20046
3.25236134,19658
3.26322778,19670
3.27409422,19663
3.28496066,19402
3.2958271,18928
3.30669354,19026
3.31755998,18845
3.32842642,18779
3.33929286,18252
3.3501593,18251
3.36102574,18215
3.37189218,17955
3.38275862,17551
3.39362506,17424
3.4044915,17710
3.41535794,17058
3.42622438,16904
3.43709082,16839
3.44795726,16487
3.4588237,16454
3.46969014,16593
3.48055658,16178
3.49142302,15877
3.50228946,15902
3.5131559,15675
3.52402234,15589
3.53488878,15218
3.54575522,15449
3.55662166,15091
3.5674881,14855
3.57835454,14636
3.58922098,14484
3.60008742,14666
3.61095386,14417
3.6218203,14231
3.63268674,13964
3.64355318,14176
3.65441962,13809
3.66528606,13674
3.6761525,13545
3.68701894,13554
3.69788538,13336
3.70875182,13299
3.71961826,13150
3.7304847,12909
3.74135114,12935
3.75221758,12777
3.76308402,12515
3.77395046,12618
3.7848169,12297
3.79568334,12183
3.80654978,12108
3.81741622,12191
3.82828266,12079
3.8391491,11869
3.85001554,11766
3.86088198,11500
3.87174842,11440
3.88261486,11223
3.8934813,11144
3.90434774,11313
3.91521418,11231
3.92608062,10818
3.93694706,10656
3.9478135,10532
3.95867994,10657
3.96954638,10541
3.98041282,10405
3.99127926,10423
4.0021457,10176
4.01301214,10070
4.02387858,10217
4.03474502,10019
4.04561146,9791
4.0564779,9724
4.06734434,9610
4.07821078,9529
4.08907722,9678
4.09994366,9387
4.1108101,9150
4.12167654,9357
4.13254298,9015
4.14340942,9254
4.15427586,8848
4.1651423,8764
4.17600874,8749
4.18687518,8723
4.19774162,8589
4.20860806,8712
4.2194745,8481
4.23034094,8385
4.24120738,8251
4.25207382,8299
4.26294026,8291
4.2738067,8056
4.28467314,7985
4.29553958,7919
4.30640602,7840
4.31727246,7738
4.3281389,7790
4.33900534,7628
4.34987178,7584
4.36073822,7727
4.37160466,7413
