"Angle","Counts"
3.00243322,25687
3.01329966,25185
3.0241661,24703
3.03503254,24706
3.04589898,24464
3.05676542,24215
3.06763186,24148
3.0784983,23590
3.08936474,23377
3.10023118,23066
3.11109762,22793
3.12196406,22591
3.1328305,22305
3.14369694,22089
3.15456338,21862
3.16542982,21666
3.17629626,21430
3.1871627,21369
3.19802914,20688
3.20889558,20729
3.21976202,20449
3.23062846,20198
3.2414949,20153
3.25236134,19784
3.26322778,19681
3.27409422,19606
3.28496066,19498
3.2958271,19202
3.30669354,18666
3.31755998,18889
3.32842642,18455
3.33929286,18317
3.3501593,18421
3.36102574,18204
3.37189218,18081
3.38275862,18029
3.39362506,17939
3.4044915,17258
3.41535794,17508
3.42622438,17441
3.43709082,17279
3.44795726,16882
3.4588237,16906
3.46969014,16588
3.48055658,16383
3.49142302,16560
3.50228946,16232
3.5131559,16127
3.52402234,15841
3.53488878,16107
3.54575522,15693
3.55662166,15535
3.5674881,15589
3.57835454,15224
3.58922098,15374
3.60008742,15229
3.61095386,15111
3.6218203,14920
3.63268674,14743
3.64355318,14631
3.65441962,14424
3.66528606,14692
3.6761525,14435
3.68701894,14164
3.69788538,14224
3.70875182,14211
3.71961826,14099
3.7304847,13920
3.74135114,13808
3.75221758,13863
3.76308402,13495
3.77395046,13574
3.7848169,13453
3.79568334,13467
3.80654978,13156
3.81741622,13319
3.82828266,13157
3.8391491,12990
3.85001554,12816
3.86088198,12816
3.87174842,12773
3.88261486,12769
3.8934813,12610
3.90434774,12451
3.91521418,12329
3.92608062,12365
3.93694706,12385
3.9478135,12151
3.95867994,12107
3.96954638,12141
3.98041282,11838
3.99127926,11938
4.0021457,11880
4.01301214,11761
4.02387858,11848
4.03474502,11618
4.04561146,11658
4.0564779,11541
4.06734434,11666
4.07821078,11555
4.08907722,11344
4.09994366,11441
4.1108101,11389
4.12167654,11162
4.13254298,11294
4.14340942,11108
4.15427586,11127
4.1651423,11253
4.17600874,10889
4.18687518,10776
4.19774162,11079
4.20860806,10812
4.2194745,10889
4.23034094,10590
4.24120738,10703
4.25207382,10785
4.26294026,10575
4.2738067,10482
4.28467314,10598
4.29553958,10592
4.30640602,10515
4.31727246,10350
4.3281389,10305
4.33900534,10541
4.34987178,10328
4.36073822,10241
4.37160466,10377
4.3824711,10312
4.39333754,10054
4.40420398,10181
4.41507042,10212
4.42593686,9968
4.4368033,10039
4.44766974,10012
4.45853618,10004
4.46940262,9999
4.48026906,9907
4.4911355,9773
4.50200194,9832
4.51286838,9759
4.52373482,9716
4.53460126,9838
4.5454677,9803
4.55633414,9771
4.56720058,9692
4.57806702,9813
4.58893346,9608
4.5997999,9774
4.61066634,9644
4.62153278,9815
4.63239922,9807
4.64326566,9496
4.6541321,9719
4.66499854,9659
4.67586498,9521
4.68673142,9445
4.69759786,9455
4.7084643,9363
4.71933074,9721
4.73019718,9400
4.74106362,9485
4.75193006,9598
4.7627965,9449
4.77366294,9531
4.78452938,9633
4.79539582,9537
4.80626226,9744
4.8171287,9675
4.82799514,9454
4.83886158,9551
4.84972802,9645
4.86059446,9450
4.8714609,9292
4.88232734,9369
4.89319378,9602
4.90406022,9498
4.91492666,9477
4.9257931,9503
4.93665954,9494
4.94752598,9441
4.95839242,9484
4.96925886,9525
4.9801253,9446
4.99099174,9491
5.00185818,9417
5.01272462,9588
5.02359106,9506
5.0344575,9465
5.04532394,9618
5.05619038,9534
5.06705682,9481
5.07792326,9559
5.0887897,9571
5.09965614,9519
5.11052258,9472
5.12138902,9611
5.13225546,9580
5.1431219,9722
5.15398834,9580
5.16485478,9543
5.17572122,9615
5.18658766,9654
5.1974541,9459
5.20832054,9546
5.21918698,9615
5.23005342,9740
5.24091986,9642
5.2517863,9876
5.26265274,9594
5.27351918,9725
5.28438562,9631
5.29525206,9522
5.3061185,9606
5.31698494,9767
5.32785138,9650
5.33871782,9715
5.34958426,9669
5.3604507,9623
5.37131714,9825
5.38218358,9676
5.39305002,9826
5.40391646,9858
5.4147829,9778
5.42564934,9716
5.43651578,9866
5.44738222,9696
5.45824866,9927
5.4691151,9770
5.47998154,9832
5.49084798,9910
5.50171442,9807
5.51258086,9801
5.5234473,9792
5.53431374,9885
5.54518018,10032
5.55604662,9804
5.56691306,9791
5.5777795,9915
5.58864594,9869
5.59951238,9831
5.61037882,9920
5.62124526,10147
5.6321117,9978
5.64297814,10035
5.65384458,9993
5.66471102,10095
5.67557746,9943
5.6864439,10141
5.69731034,10104
5.70817678,10104
5.71904322,10130
5.72990966,10162
5.7407761,10198
5.75164254,10169
5.76250898,10296
5.77337542,10049
5.78424186,10301
5.7951083,10264
5.80597474,10048
5.81684118,10324
5.82770762,10419
5.83857406,10417
5.8494405,10334
5.86030694,10240
5.87117338,10308
5.88203982,10367
5.89290626,10353
5.9037727,10379
5.91463914,10317
5.92550558,10507
5.93637202,10231
5.94723846,10356
5.9581049,10315
5.96897134,10559
5.97983778,10516
5.99070422,10503
6.00157066,10573
6.0124371,10484
6.02330354,10434
6.03416998,10651
6.04503642,10470
6.05590286,10490
6.0667693,10371
6.07763574,10659
6.08850218,10623
6.09936862,10752
6.11023506,10674
6.1211015,10703
6.13196794,10510
6.14283438,10616
6.15370082,10722
6.16456726,10702
6.1754337,10540
6.18630014,10698
6.19716658,10693
6.20803302,10581
6.21889946,10520
6.2297659,10543
6.24063234,10639
6.25149878,10546
6.26236522,10677
6.27323166,10721
6.2840981,10673
6.29496454,10853
6.30583098,10688
6.31669742,10784
6.32756386,10772
6.3384303,10791
6.34929674,10591
6.36016318,10604
6.37102962,10762
6.38189606,10815
6.3927625,10691
6.40362894,10945
6.41449538,10533
6.42536182,10552
6.43622826,10668
6.4470947,10724
6.45796114,10692
6.46882758,10709
6.47969402,10506
6.49056046,10751
6.5014269,10749
6.51229334,10825
6.52315978,10579
6.53402622,10641
6.54489266,10629
6.5557591,10602
6.56662554,10520
6.57749198,10400
6.58835842,10441
6.59922486,10669
6.6100913,10660
6.62095774,10638
6.63182418,10571
6.64269062,10545
6.65355706,10700
6.6644235,10533
6.67528994,10375
6.68615638,10528
6.69702282,10520
6.70788926,10532
6.7187557,10372
6.72962214,10640
6.74048858,10479
6.75135502,10546
6.76222146,10417
6.7730879,10638
6.78395434,10328
6.79482078,10413
6.80568722,10315
6.81655366,10334
6.8274201,10263
6.83828654,10143
6.84915298,10198
6.86001942,10182
6.87088586,10383
6.8817523,10344
6.89261874,10271
6.90348518,10102
6.91435162,10310
6.92521806,10104
6.9360845,9954
6.94695094,10196
6.95781738,10029
6.96868382,9984
6.97955026,10129
6.9904167,10051
7.00128314,9955
7.01214958,10145
7.02301602,10078
7.03388246,10089
7.0447489,10140
7.05561534,9772
7.06648178,10072
7.07734822,10042
7.08821466,10050
7.0990811,9868
7.10994754,9952
7.12081398,9678
7.13168042,9763
7.14254686,9777
7.1534133,9932
7.16427974,9767
7.17514618,9730
7.18601262,9784
7.19687906,9780
7.2077455,9703
7.21861194,9642
7.22947838,9776
7.24034482,9602
7.25121126,9630
7.2620777,9544
7.27294414,9651
7.28381058,9482
7.29467702,9436
7.30554346,9539
7.3164099,9500
7.32727634,9431
7.33814278,9459
7.34900922,9396
7.35987566,9534
7.3707421,9379
7.38160854,9399
7.39247498,9217
7.40334142,9284
7.41420786,9134
7.4250743,9126
7.43594074,9152
7.44680718,9303
7.45767362,9269
7.46854006,9156
7.4794065,9126
7.49027294,9086
7.50113938,9026
7.51200582,9066
7.52287226,9284
7.5337387,9013
7.54460514,9001
7.55547158,8854
7.56633802,9031
7.57720446,8782
7.5880709,8969
7.59893734,9109
7.60980378,8851
7.62067022,8690
7.63153666,8768
7.6424031,8834
7.65326954,8731
7.66413598,9055
7.67500242,8816
7.68586886,8753
7.6967353,8839
7.70760174,8738
7.71846818,8542
7.72933462,8788
7.74020106,8579
7.7510675,8697
7.76193394,8601
7.77280038,8626
7.78366682,8606
7.79453326,8468
7.8053997,8423
7.81626614,8525
7.82713258,8693
7.83799902,8474
7.84886546,8440
7.8597319,8518
7.87059834,8244
7.88146478,8335
7.89233122,8290
7.90319766,8313
7.9140641,8359
7.92493054,8317
7.93579698,8376
7.94666342,8316
7.95752986,8255
7.9683963,8088
7.97926274,8210
7.99012918,8229
8.00099562,8060
8.01186206,8177
8.0227285,8082
8.03359494,8218
8.04446138,8188
8.05532782,8061
8.06619426,8150
8.0770607,8142
8.08792714,8134
8.09879358,8030
8.10966002,7981
8.12052646,7905
8.1313929,7899
8.14225934,7965
8.15312578,7926
8.16399222,7811
8.17485866,7713
8.1857251,7927
8.19659154,7828
