"Angle","Counts"
3.00243322,25343
3.01329966,24722
3.0241661,24250
3.03503254,24041
3.04589898,23491
3.05676542,23534
3.06763186,23465
3.0784983,23355
3.08936474,22690
3.10023118,22655
3.11109762,22506
3.12196406,21966
3.1328305,21695
3.14369694,21904
3.15456338,21376
3.16542982,21083
3.17629626,20869
3.1871627,20818
3.19802914,20553
3.20889558,20180
3.21976202,20300
3.23062846,19787
3.2414949,19627
3.25236134,19417
3.26322778,19226
3.27409422,19247
3.28496066,18998
3.2958271,18706
3.30669354,18458
3.31755998,18417
3.32842642,18010
3.33929286,18248
3.3501593,17718
3.36102574,17758
3.37189218,17714
3.38275862,17501
3.39362506,17115
3.4044915,17313
3.41535794,16716
3.42622438,16733
3.43709082,16528
3.44795726,16599
3.4588237,16206
3.46969014,16397
3.48055658,15871
3.49142302,16089
3.50228946,15657
3.5131559,15613
3.52402234,15389
3.53488878,15367
3.54575522,15192
3.55662166,15068
3.5674881,15073
3.57835454,14915
3.58922098,14772
3.60008742,14324
3.61095386,14234
3.6218203,14108
3.63268674,14290
3.64355318,13843
3.65441962,14093
3.66528606,13752
3.6761525,13705
3.68701894,13593
3.69788538,13398
3.70875182,13384
3.71961826,13064
3.7304847,13182
3.74135114,12963
3.75221758,13099
3.76308402,12905
3.77395046,12540
3.7848169,12535
3.79568334,12466
3.80654978,12258
3.81741622,12321
3.82828266,12102
3.8391491,12065
3.85001554,11900
3.86088198,11901
3.87174842,12033
3.88261486,11491
3.8934813,11633
3.90434774,11611
3.91521418,11356
3.92608062,11510
3.93694706,11440
3.9478135,10899
3.95867994,11042
3.96954638,10692
3.98041282,10960
3.99127926,10836
4.0021457,10890
4.01301214,10705
4.02387858,10630
4.03474502,10644
4.04561146,10188
4.0564779,10347
4.06734434,10384
4.07821078,10150
4.08907722,10176
4.09994366,10040
4.1108101,10044
4.12167654,9781
4.13254298,9780
4.14340942,9868
4.15427586,9804
4.1651423,9688
4.17600874,9635
4.18687518,9583
4.19774162,9522
4.20860806,9213
4.2194745,9470
4.23034094,9444
4.24120738,9441
4.25207382,9243
4.26294026,9243
4.2738067,9054
4.28467314,9058
4.29553958,8987
4.30640602,9031
4.31727246,8790
4.3281389,8736
4.33900534,8647
4.34987178,8665
4.36073822,8549
4.37160466,8659
4.3824711,8623
4.39333754,8417
4.40420398,8449
4.41507042,8464
4.42593686,8270
4.4368033,8429
4.44766974,8336
4.45853618,8062
4.46940262,8274
4.48026906,7942
4.4911355,8257
4.50200194,7889
4.51286838,8033
4.52373482,7714
4.53460126,7742
4.5454677,7686
4.55633414,7787
4.56720058,7795
4.57806702,7798
4.58893346,7497
4.5997999,7595
4.61066634,7597
4.62153278,7430
4.63239922,7409
4.64326566,7361
4.6541321,7321
4.66499854,7316
4.67586498,7437
4.68673142,7346
4.69759786,7247
4.7084643,7386
4.71933074,7232
4.73019718,7120
4.74106362,7128
4.75193006,7160
4.7627965,7136
4.77366294,7169
4.78452938,7115
4.79539582,7013
4.80626226,7078
4.8171287,6912
4.82799514,6957
4.83886158,7072
4.84972802,6880
4.86059446,6876
4.8714609,6870
4.88232734,6807
4.89319378,6686
4.90406022,6920
4.91492666,6739
4.9257931,6600
4.93665954,6737
4.94752598,6567
4.95839242,6592
4.96925886,6483
4.9801253,6805
4.99099174,6541
5.00185818,6563
5.01272462,6513
5.02359106,6614
5.0344575,6540
5.04532394,6507
5.05619038,6390
5.06705682,6516
5.07792326,6476
5.0887897,6434
5.09965614,6471
5.11052258,6434
5.12138902,6336
5.13225546,6209
5.1431219,6285
5.15398834,6295
5.16485478,6399
5.17572122,6345
5.18658766,6242
