"Angle","Counts"
3.00243322,25220
3.01329966,25016
3.0241661,24820
3.03503254,24582
3.04589898,24501
3.05676542,24137
3.06763186,23909
3.0784983,23754
3.08936474,23500
3.10023118,23110
3.11109762,22672
3.12196406,22696
3.1328305,22565
3.14369694,22238
3.15456338,22059
3.16542982,21792
3.17629626,21802
3.1871627,21311
3.19802914,21028
3.20889558,20980
3.21976202,20693
3.23062846,20882
3.2414949,20498
3.25236134,20247
3.26322778,19996
3.27409422,19679
3.28496066,19728
3.2958271,19642
3.30669354,19418
3.31755998,19265
3.32842642,18834
3.33929286,18714
3.3501593,18700
3.36102574,18245
3.37189218,18292
3.38275862,17870
3.39362506,18010
3.4044915,17630
3.41535794,17782
3.42622438,17456
3.43709082,17398
3.44795726,17145
3.4588237,16906
3.46969014,16993
3.48055658,16694
3.49142302,16721
3.50228946,16486
3.5131559,16272
3.52402234,16377
3.53488878,16317
3.54575522,15813
3.55662166,15888
3.5674881,15916
3.57835454,15496
3.58922098,15622
3.60008742,15455
3.61095386,15056
3.6218203,15147
3.63268674,15010
3.64355318,14933
3.65441962,14689
3.66528606,14498
3.6761525,14597
3.68701894,14170
3.69788538,14544
3.70875182,14149
3.71961826,14126
3.7304847,13857
3.74135114,13726
3.75221758,13862
3.76308402,13497
3.77395046,13613
3.7848169,13594
3.79568334,13411
3.80654978,13127
3.81741622,13033
3.82828266,13025
3.8391491,13033
3.85001554,12869
3.86088198,12756
3.87174842,12638
3.88261486,12673
3.8934813,12649
3.90434774,12481
3.91521418,12210
3.92608062,12133
3.93694706,12020
3.9478135,12137
3.95867994,11800
3.96954638,11765
3.98041282,11740
3.99127926,11836
4.0021457,11674
4.01301214,11550
4.02387858,11619
4.03474502,11575
4.04561146,11280
4.0564779,11404
4.06734434,11233
4.07821078,11311
4.08907722,11132
4.09994366,10960
4.1108101,10861
4.12167654,11082
4.13254298,10835
4.14340942,10731
4.15427586,10717
4.1651423,10576
4.17600874,10641
4.18687518,10384
4.19774162,10403
4.20860806,10404
4.2194745,10316
4.23034094,10357
4.24120738,10258
4.25207382,10237
4.26294026,10023
4.2738067,9952
4.28467314,10253
4.29553958,10088
4.30640602,9887
4.31727246,9818
4.3281389,9767
4.33900534,9662
4.34987178,9583
4.36073822,9635
4.37160466,9601
4.3824711,9488
4.39333754,9535
4.40420398,9426
4.41507042,9279
4.42593686,9278
4.4368033,9404
4.44766974,9126
4.45853618,9298
4.46940262,9111
4.48026906,9288
4.4911355,9027
4.50200194,9174
4.51286838,8924
4.52373482,8863
4.53460126,8896
4.5454677,8779
4.55633414,8756
4.56720058,8786
4.57806702,8602
4.58893346,8618
4.5997999,8613
4.61066634,8633
4.62153278,8623
4.63239922,8508
4.64326566,8455
4.6541321,8595
4.66499854,8571
4.67586498,8464
4.68673142,8512
4.69759786,8493
4.7084643,8357
4.71933074,8349
4.73019718,8145
4.74106362,8230
4.75193006,8160
4.7627965,8225
4.77366294,8139
4.78452938,8274
4.79539582,8074
4.80626226,8220
4.8171287,8180
4.82799514,8250
4.83886158,7867
4.84972802,8064
4.86059446,8073
4.8714609,8030
4.88232734,8018
4.89319378,8097
4.90406022,8107
4.91492666,7792
4.9257931,7905
4.93665954,7862
4.94752598,7867
4.95839242,7776
4.96925886,7822
4.9801253,7807
4.99099174,7668
5.00185818,7763
5.01272462,7842
5.02359106,7817
5.0344575,7773
5.04532394,7877
5.05619038,7805
5.06705682,7683
5.07792326,7819
5.0887897,7802
5.09965614,7545
5.11052258,7645
5.12138902,7587
5.13225546,7748
5.1431219,7694
5.15398834,7674
5.16485478,7574
5.17572122,7684
5.18658766,7728
5.1974541,7492
5.20832054,7652
5.21918698,7549
5.23005342,7571
5.24091986,7525
5.2517863,7510
5.26265274,7436
5.27351918,7440
5.28438562,7549
5.29525206,7557
5.3061185,7613
5.31698494,7658
5.32785138,7337
5.33871782,7488
5.34958426,7475
5.3604507,7511
5.37131714,7508
5.38218358,7485
5.39305002,7502
5.40391646,7305
5.4147829,7544
5.42564934,7484
5.43651578,7560
5.44738222,7606
5.45824866,7394
5.4691151,7401
5.47998154,7501
5.49084798,7530
5.50171442,7475
5.51258086,7412
5.5234473,7454
5.53431374,7492
5.54518018,7406
5.55604662,7351
5.56691306,7469
5.5777795,7516
5.58864594,7452
5.59951238,7437
5.61037882,7431
5.62124526,7312
5.6321117,7521
5.64297814,7379
5.65384458,7439
5.66471102,7384
5.67557746,7466
5.6864439,7467
5.69731034,7502
5.70817678,7534
5.71904322,7374
5.72990966,7466
5.7407761,7375
5.75164254,7443
5.76250898,7360
5.77337542,7596
5.78424186,7434
5.7951083,7670
5.80597474,7409
5.81684118,7613
5.82770762,7316
5.83857406,7549
5.8494405,7667
5.86030694,7499
5.87117338,7558
5.88203982,7445
5.89290626,7474
5.9037727,7386
5.91463914,7672
5.92550558,7498
5.93637202,7596
5.94723846,7567
5.9581049,7591
5.96897134,7616
5.97983778,7570
5.99070422,7755
6.00157066,7669
6.0124371,7717
6.02330354,7622
6.03416998,7613
6.04503642,7518
6.05590286,7637
6.0667693,7587
6.07763574,7719
6.08850218,7536
6.09936862,7566
6.11023506,7618
6.1211015,7612
6.13196794,7574
6.14283438,7736
6.15370082,7793
6.16456726,7629
6.1754337,7655
6.18630014,7676
6.19716658,7688
6.20803302,7524
6.21889946,7615
6.2297659,7693
6.24063234,7733
6.25149878,7814
6.26236522,7642
6.27323166,7550
6.2840981,7842
6.29496454,7745
6.30583098,7771
6.31669742,7800
6.32756386,7577
6.3384303,7788
6.34929674,7707
6.36016318,7793
6.37102962,7702
6.38189606,7632
6.3927625,7673
6.40362894,7743
6.41449538,7751
6.42536182,7742
6.43622826,7747
6.4470947,7841
6.45796114,7901
6.46882758,7651
6.47969402,7699
6.49056046,7596
6.5014269,7650
6.51229334,7611
6.52315978,7791
6.53402622,7607
6.54489266,7805
6.5557591,7841
