"Angle","Counts"
3.00243322,26249
3.01329966,25720
3.0241661,25390
3.03503254,25006
3.04589898,24832
3.05676542,24433
3.06763186,24223
3.0784983,24003
3.08936474,23515
3.10023118,23483
3.11109762,22996
3.12196406,22817
3.1328305,22933
3.14369694,22869
3.15456338,22444
3.16542982,21899
3.17629626,21993
3.1871627,21657
3.19802914,21746
3.20889558,21251
3.21976202,21129
3.23062846,20751
3.2414949,20693
3.25236134,20375
3.26322778,20219
3.27409422,20052
3.28496066,19759
3.2958271,19486
3.30669354,19556
3.31755998,19579
3.32842642,19073
3.33929286,18906
3.3501593,18933
3.36102574,18388
3.37189218,18557
3.38275862,18173
3.39362506,18319
3.4044915,17973
3.41535794,17966
3.42622438,17752
3.43709082,17395
3.44795726,17207
3.4588237,17275
3.46969014,16998
3.48055658,17151
3.49142302,16973
3.50228946,16672
3.5131559,16545
3.52402234,16430
3.53488878,16297
3.54575522,16006
3.55662166,16005
3.5674881,16001
3.57835454,15880
3.58922098,15874
3.60008742,15602
3.61095386,15436
3.6218203,15399
3.63268674,15270
3.64355318,14980
3.65441962,15218
3.66528606,14990
3.6761525,14688
3.68701894,14716
3.69788538,14447
3.70875182,14379
3.71961826,14441
3.7304847,14079
3.74135114,13845
3.75221758,13852
3.76308402,13857
3.77395046,13448
3.7848169,13460
3.79568334,13582
3.80654978,13416
3.81741622,13550
3.82828266,13185
3.8391491,13246
3.85001554,13126
3.86088198,13157
3.87174842,12981
3.88261486,12790
3.8934813,12854
3.90434774,12817
3.91521418,12453
3.92608062,12625
3.93694706,12332
3.9478135,12058
3.95867994,12277
3.96954638,12179
3.98041282,11907
3.99127926,12090
4.0021457,11953
4.01301214,11885
4.02387858,11740
4.03474502,11735
4.04561146,11559
4.0564779,11528
4.06734434,11606
4.07821078,11582
4.08907722,11439
4.09994366,11377
4.1108101,11299
4.12167654,11156
4.13254298,11130
4.14340942,10888
4.15427586,10939
4.1651423,10901
4.17600874,10778
4.18687518,10663
4.19774162,10514
4.20860806,10662
4.2194745,10594
4.23034094,10650
4.24120738,10453
4.25207382,10537
4.26294026,10305
4.2738067,10649
4.28467314,10245
4.29553958,10078
4.30640602,10190
4.31727246,10280
4.3281389,10147
4.33900534,9923
4.34987178,10232
