"Angle","Counts"
3.00243322,28205
3.01329966,27588
3.0241661,27584
3.03503254,27628
3.04589898,27135
3.05676542,26697
3.06763186,26702
3.0784983,26622
3.08936474,26206
3.10023118,26102
3.11109762,25538
3.12196406,25535
3.1328305,25494
3.14369694,25334
3.15456338,24934
3.16542982,24629
3.17629626,24693
3.1871627,24223
3.19802914,24119
3.20889558,23793
3.21976202,23607
3.23062846,23649
3.2414949,23133
3.25236134,22908
3.26322778,22879
3.27409422,22798
3.28496066,22359
3.2958271,21803
3.30669354,22104
3.31755998,21804
3.32842642,21987
3.33929286,21558
3.3501593,21389
3.36102574,21346
3.37189218,20839
3.38275862,20950
3.39362506,20680
3.4044915,20647
3.41535794,20422
3.42622438,20522
3.43709082,19955
3.44795726,20023
3.4588237,19795
3.46969014,19613
3.48055658,19706
3.49142302,19176
3.50228946,18863
3.5131559,19083
3.52402234,18571
3.53488878,18935
3.54575522,18892
3.55662166,18325
3.5674881,18718
3.57835454,18269
3.58922098,17815
3.60008742,17917
3.61095386,17883
3.6218203,17847
3.63268674,17407
3.64355318,17752
3.65441962,17369
3.66528606,17391
3.6761525,17151
3.68701894,17017
3.69788538,16978
3.70875182,17036
3.71961826,16760
3.7304847,16511
3.74135114,16554
3.75221758,16537
3.76308402,16428
3.77395046,16146
3.7848169,16092
3.79568334,15866
3.80654978,16103
3.81741622,15791
3.82828266,15742
3.8391491,15459
3.85001554,15430
3.86088198,15425
3.87174842,15232
3.88261486,15227
3.8934813,15244
3.90434774,15080
3.91521418,14841
3.92608062,14885
3.93694706,14848
3.9478135,14645
3.95867994,14602
3.96954638,14544
3.98041282,14213
3.99127926,14380
4.0021457,14191
4.01301214,14020
4.02387858,14367
4.03474502,14219
4.04561146,13866
4.0564779,13951
4.06734434,13803
4.07821078,13825
4.08907722,13414
4.09994366,13232
4.1108101,13304
4.12167654,13398
4.13254298,13226
4.14340942,13388
4.15427586,13502
4.1651423,13066
4.17600874,12907
4.18687518,12842
4.19774162,12846
4.20860806,12900
4.2194745,12709
4.23034094,12696
4.24120738,12829
4.25207382,12609
4.26294026,12530
4.2738067,12561
4.28467314,12400
4.29553958,12401
4.30640602,12163
4.31727246,12112
4.3281389,11999
4.33900534,12076
4.34987178,12242
4.36073822,12125
4.37160466,11985
4.3824711,12016
4.39333754,11750
4.40420398,11897
4.41507042,11813
4.42593686,11719
4.4368033,11619
4.44766974,11680
4.45853618,11622
4.46940262,11696
4.48026906,11352
4.4911355,11380
4.50200194,11425
4.51286838,11336
4.52373482,11413
4.53460126,11294
4.5454677,11219
4.55633414,11143
4.56720058,11201
4.57806702,11178
4.58893346,11080
4.5997999,10971
4.61066634,10799
4.62153278,10800
4.63239922,10724
4.64326566,10987
4.6541321,10829
4.66499854,10726
4.67586498,10634
4.68673142,10825
4.69759786,10664
4.7084643,10600
4.71933074,10471
4.73019718,10425
4.74106362,10612
4.75193006,10322
4.7627965,10360
4.77366294,10243
4.78452938,10557
4.79539582,10383
4.80626226,10239
4.8171287,10389
4.82799514,10098
4.83886158,10244
4.84972802,10115
4.86059446,10086
4.8714609,10153
4.88232734,9828
4.89319378,9872
4.90406022,9939
4.91492666,9826
4.9257931,10025
4.93665954,9850
4.94752598,9762
4.95839242,9887
4.96925886,9627
4.9801253,9806
4.99099174,9732
5.00185818,9700
5.01272462,9720
5.02359106,9586
5.0344575,9532
5.04532394,9622
5.05619038,9529
5.06705682,9562
5.07792326,9456
5.0887897,9353
5.09965614,9414
5.11052258,9389
5.12138902,9244
5.13225546,9253
5.1431219,9389
5.15398834,9360
5.16485478,9241
5.17572122,9026
5.18658766,9081
5.1974541,9185
5.20832054,9349
5.21918698,9304
5.23005342,9081
5.24091986,9182
5.2517863,9021
5.26265274,9028
5.27351918,8919
5.28438562,8954
5.29525206,9040
5.3061185,8994
5.31698494,8968
5.32785138,8934
5.33871782,8809
5.34958426,9027
5.3604507,8769
5.37131714,8839
5.38218358,8887
5.39305002,8875
5.40391646,8773
5.4147829,8705
5.42564934,8814
5.43651578,8617
5.44738222,8635
5.45824866,8497
5.4691151,8493
5.47998154,8532
5.49084798,8558
5.50171442,8469
5.51258086,8743
5.5234473,8688
5.53431374,8401
5.54518018,8581
5.55604662,8531
5.56691306,8333
5.5777795,8510
5.58864594,8510
5.59951238,8463
5.61037882,8205
5.62124526,8510
5.6321117,8245
5.64297814,8304
5.65384458,8404
5.66471102,8186
5.67557746,8507
5.6864439,8327
5.69731034,8342
5.70817678,8188
5.71904322,8323
5.72990966,8264
5.7407761,8210
5.75164254,8177
5.76250898,8231
5.77337542,8136
5.78424186,8079
5.7951083,8251
5.80597474,8145
5.81684118,8069
5.82770762,8247
5.83857406,8212
5.8494405,8113
5.86030694,7967
5.87117338,8157
5.88203982,7952
5.89290626,7911
5.9037727,8170
5.91463914,8059
5.92550558,8071
5.93637202,8031
5.94723846,8216
5.9581049,8018
5.96897134,8108
5.97983778,7827
5.99070422,7981
6.00157066,7872
6.0124371,7745
6.02330354,7901
6.03416998,7937
6.04503642,7877
6.05590286,7788
6.0667693,7996
6.07763574,7830
6.08850218,7844
6.09936862,7860
6.11023506,7868
6.1211015,7781
6.13196794,7915
6.14283438,7858
6.15370082,7706
6.16456726,7874
6.1754337,7871
6.18630014,7864
6.19716658,7892
6.20803302,7840
6.21889946,7813
6.2297659,7592
6.24063234,7755
6.25149878,7764
6.26236522,7824
6.27323166,7894
6.2840981,7713
6.29496454,7654
6.30583098,7915
6.31669742,7623
6.32756386,7789
6.3384303,7673
6.34929674,7577
6.36016318,7479
6.37102962,7692
6.38189606,7620
6.3927625,7701
6.40362894,7630
6.41449538,7655
6.42536182,7578
6.43622826,7708
6.4470947,7545
6.45796114,7717
6.46882758,7476
6.47969402,7524
6.49056046,7543
6.5014269,7538
6.51229334,7549
6.52315978,7497
6.53402622,7489
6.54489266,7528
6.5557591,7445
6.56662554,7417
6.57749198,7555
6.58835842,7577
6.59922486,7277
6.6100913,7449
6.62095774,7591
6.63182418,7457
6.64269062,7388
6.65355706,7285
6.6644235,7348
6.67528994,7348
6.68615638,7382
6.69702282,7332
6.70788926,7265
6.7187557,7421
6.72962214,7398
6.74048858,7492
6.75135502,7273
6.76222146,7215
6.7730879,7476
6.78395434,7212
6.79482078,7277
6.80568722,7270
6.81655366,7271
6.8274201,7281
6.83828654,7303
6.84915298,7391
6.86001942,7323
6.87088586,7314
6.8817523,7254
6.89261874,7162
6.90348518,7299
6.91435162,7266
6.92521806,7237
6.9360845,7331
6.94695094,7309
6.95781738,7220
6.96868382,7278
6.97955026,7120
6.9904167,7245
7.00128314,7119
7.01214958,7285
7.02301602,7086
7.03388246,7049
7.0447489,7115
7.05561534,7092
7.06648178,7208
7.07734822,7079
7.08821466,7266
7.0990811,7155
7.10994754,7076
7.12081398,6999
7.13168042,7118
7.14254686,7094
7.1534133,7095
7.16427974,7103
7.17514618,7145
