"Angle","Counts"
3.00243322,25900
3.01329966,25502
3.0241661,24985
3.03503254,25043
3.04589898,24538
3.05676542,24421
3.06763186,23930
3.0784983,23884
3.08936474,23567
3.10023118,23506
3.11109762,23155
3.12196406,23037
3.1328305,22593
3.14369694,22474
3.15456338,22045
3.16542982,21718
3.17629626,21637
3.1871627,21580
3.19802914,21315
3.20889558,20936
3.21976202,20887
3.23062846,20748
3.2414949,20363
3.25236134,20253
3.26322778,19793
3.27409422,19888
3.28496066,19483
3.2958271,19116
3.30669354,19215
3.31755998,19067
3.32842642,18812
3.33929286,18443
3.3501593,18161
3.36102574,18209
3.37189218,17864
3.38275862,17769
3.39362506,17592
3.4044915,17636
3.41535794,17364
3.42622438,17213
3.43709082,16731
3.44795726,16915
3.4588237,16912
3.46969014,16560
3.48055658,16522
3.49142302,16609
3.50228946,16191
3.5131559,15991
3.52402234,15725
3.53488878,16011
3.54575522,15683
3.55662166,15673
3.5674881,15327
3.57835454,15604
3.58922098,14992
3.60008742,15055
3.61095386,14549
3.6218203,14604
3.63268674,14938
3.64355318,14710
3.65441962,14407
3.66528606,14538
3.6761525,14148
3.68701894,14341
3.69788538,14149
3.70875182,14068
3.71961826,13994
3.7304847,13831
3.74135114,13544
3.75221758,13836
3.76308402,13596
3.77395046,13429
3.7848169,13491
3.79568334,13348
3.80654978,13154
3.81741622,13297
3.82828266,13084
3.8391491,12906
3.85001554,13081
3.86088198,12988
3.87174842,12750
3.88261486,12477
3.8934813,12659
3.90434774,12418
3.91521418,12344
3.92608062,12405
3.93694706,12161
3.9478135,11922
3.95867994,12205
3.96954638,12028
3.98041282,11926
3.99127926,11823
4.0021457,11836
4.01301214,11930
4.02387858,11642
4.03474502,11551
4.04561146,11588
4.0564779,11541
4.06734434,11553
4.07821078,11497
4.08907722,11482
4.09994366,11485
4.1108101,11238
4.12167654,11306
4.13254298,11346
4.14340942,11313
4.15427586,11083
4.1651423,11193
4.17600874,10969
4.18687518,11079
4.19774162,10949
4.20860806,10987
4.2194745,10986
4.23034094,10744
4.24120738,10712
4.25207382,10743
4.26294026,10660
4.2738067,10814
4.28467314,10704
4.29553958,10615
4.30640602,10663
4.31727246,10640
4.3281389,10334
4.33900534,10396
4.34987178,10453
4.36073822,10231
4.37160466,10208
4.3824711,10283
4.39333754,10284
4.40420398,10197
4.41507042,10335
4.42593686,10104
4.4368033,9965
4.44766974,10231
4.45853618,10025
4.46940262,10144
4.48026906,10163
4.4911355,10197
4.50200194,10234
4.51286838,10255
4.52373482,10107
4.53460126,10027
4.5454677,10044
4.55633414,9954
4.56720058,10090
4.57806702,9781
4.58893346,9883
4.5997999,9883
4.61066634,9934
4.62153278,10055
4.63239922,9804
4.64326566,9968
4.6541321,10052
4.66499854,9939
4.67586498,9878
4.68673142,9957
4.69759786,9828
4.7084643,9816
4.71933074,9866
4.73019718,9846
4.74106362,9827
4.75193006,9892
4.7627965,9840
4.77366294,9769
4.78452938,9995
4.79539582,9760
4.80626226,9769
4.8171287,9728
4.82799514,9786
4.83886158,9842
4.84972802,9751
4.86059446,9690
4.8714609,9884
4.88232734,9799
4.89319378,9918
4.90406022,9977
4.91492666,9826
4.9257931,10112
4.93665954,9838
4.94752598,10082
4.95839242,10042
4.96925886,9961
4.9801253,9908
4.99099174,9922
5.00185818,9826
5.01272462,9980
5.02359106,9885
5.0344575,9921
5.04532394,9827
5.05619038,9962
5.06705682,9982
5.07792326,10014
5.0887897,10184
5.09965614,9996
5.11052258,10193
5.12138902,9847
5.13225546,10146
5.1431219,10168
5.15398834,9935
5.16485478,10204
5.17572122,10176
5.18658766,10264
5.1974541,10226
5.20832054,10062
5.21918698,10218
5.23005342,10361
5.24091986,10285
5.2517863,10243
5.26265274,10048
5.27351918,10109
5.28438562,10030
5.29525206,10256
5.3061185,10283
5.31698494,10314
5.32785138,10436
5.33871782,10449
5.34958426,10695
5.3604507,10612
5.37131714,10294
5.38218358,10453
5.39305002,10499
5.40391646,10503
5.4147829,10622
5.42564934,10474
5.43651578,10692
5.44738222,10586
5.45824866,10552
5.4691151,10776
5.47998154,10820
5.49084798,10503
5.50171442,10745
5.51258086,10820
5.5234473,10623
5.53431374,10842
5.54518018,10622
5.55604662,10796
5.56691306,10770
5.5777795,11005
5.58864594,10958
5.59951238,10606
5.61037882,11029
5.62124526,10784
5.6321117,10939
5.64297814,11070
5.65384458,10866
5.66471102,11054
5.67557746,11196
5.6864439,10944
5.69731034,11150
5.70817678,11152
5.71904322,10972
5.72990966,11068
5.7407761,11277
5.75164254,11190
5.76250898,11119
5.77337542,11352
5.78424186,11485
5.7951083,11248
5.80597474,11386
5.81684118,11383
5.82770762,11559
5.83857406,11178
5.8494405,11331
5.86030694,11450
5.87117338,11514
5.88203982,11229
5.89290626,11407
5.9037727,11539
5.91463914,11664
5.92550558,11453
5.93637202,11316
5.94723846,11598
5.9581049,11655
5.96897134,11672
5.97983778,11735
5.99070422,11665
6.00157066,11763
6.0124371,11562
6.02330354,11569
6.03416998,11503
6.04503642,11594
6.05590286,11755
6.0667693,11718
6.07763574,11679
6.08850218,11851
6.09936862,11753
6.11023506,11801
6.1211015,11944
6.13196794,11895
6.14283438,11759
6.15370082,11944
6.16456726,11824
6.1754337,11943
6.18630014,11984
6.19716658,11908
6.20803302,12102
6.21889946,12018
6.2297659,12268
6.24063234,12060
6.25149878,11912
6.26236522,11987
6.27323166,12027
6.2840981,12040
6.29496454,11841
6.30583098,11913
6.31669742,11922
6.32756386,12190
6.3384303,11967
6.34929674,12234
6.36016318,11979
6.37102962,11878
6.38189606,12071
6.3927625,12300
6.40362894,12209
6.41449538,11940
6.42536182,12053
6.43622826,12116
6.4470947,12071
6.45796114,12091
6.46882758,12234
6.47969402,12130
6.49056046,11896
6.5014269,12153
6.51229334,11981
6.52315978,12252
6.53402622,12348
6.54489266,11952
6.5557591,12023
6.56662554,12081
6.57749198,12138
6.58835842,12024
6.59922486,12223
6.6100913,12070
6.62095774,11918
6.63182418,12097
6.64269062,11998
6.65355706,12126
6.6644235,12042
6.67528994,12069
6.68615638,12037
6.69702282,12190
6.70788926,12098
6.7187557,12043
6.72962214,12146
6.74048858,11856
6.75135502,12016
6.76222146,12078
6.7730879,11922
6.78395434,11886
6.79482078,12004
6.80568722,12182
6.81655366,11975
6.8274201,11998
6.83828654,11945
6.84915298,11935
6.86001942,11806
6.87088586,11764
6.8817523,12213
6.89261874,11817
6.90348518,11926
6.91435162,11766
6.92521806,11639
6.9360845,11926
6.94695094,11962
6.95781738,11587
6.96868382,11566
6.97955026,11786
6.9904167,11815
7.00128314,11780
7.01214958,11747
7.02301602,11605
7.03388246,11694
7.0447489,11469
7.05561534,11595
7.06648178,11585
7.07734822,11610
7.08821466,11559
7.0990811,11687
7.10994754,11544
7.12081398,11502
7.13168042,11322
7.14254686,11490
7.1534133,11493
7.16427974,11354
7.17514618,11494
7.18601262,11595
7.19687906,11497
7.2077455,11497
7.21861194,11610
7.22947838,11412
7.24034482,11418
7.25121126,11312
7.2620777,11424
7.27294414,11454
7.28381058,11391
7.29467702,11454
7.30554346,11264
7.3164099,11367
7.32727634,11166
7.33814278,11334
7.34900922,11234
7.35987566,11136
7.3707421,11289
7.38160854,11312
7.39247498,11157
7.40334142,11146
7.41420786,11084
7.4250743,11126
7.43594074,10907
7.44680718,11111
7.45767362,11019
7.46854006,10860
7.4794065,11084
7.49027294,10904
7.50113938,10894
7.51200582,10975
7.52287226,10866
7.5337387,10921
7.54460514,10969
7.55547158,10782
7.56633802,10748
7.57720446,10935
7.5880709,10820
7.59893734,10764
7.60980378,10835
7.62067022,10654
7.63153666,10811
7.6424031,10703
7.65326954,10758
7.66413598,10608
7.67500242,10744
7.68586886,10730
7.6967353,10614
7.70760174,10555
7.71846818,10571
7.72933462,10784
7.74020106,10543
7.7510675,10552
7.76193394,10340
7.77280038,10480
7.78366682,10422
7.79453326,10252
7.8053997,10516
7.81626614,10167
7.82713258,10269
7.83799902,10303
7.84886546,10539
7.8597319,10237
7.87059834,10157
7.88146478,10307
7.89233122,10371
7.90319766,10384
7.9140641,10040
7.92493054,10202
7.93579698,10127
7.94666342,10156
7.95752986,10397
7.9683963,10216
7.97926274,10054
7.99012918,10069
8.00099562,10110
8.01186206,10133
8.0227285,10071
8.03359494,10006
8.04446138,9881
8.05532782,9989
8.06619426,9992
8.0770607,10225
8.08792714,9875
8.09879358,9929
8.10966002,10087
8.12052646,10107
8.1313929,9867
8.14225934,10052
8.15312578,10093
8.16399222,9918
8.17485866,9745
8.1857251,9989
8.19659154,9874
8.20745798,9645
8.21832442,9689
8.22919086,9742
8.2400573,9838
8.25092374,9673
8.26179018,9723
8.27265662,9618
8.28352306,9805
8.2943895,9744
8.30525594,9787
8.31612238,9701
8.32698882,9689
8.33785526,9484
8.3487217,9726
8.35958814,9567
8.37045458,9646
8.38132102,9628
8.39218746,9596
8.4030539,9608
8.41392034,9543
8.42478678,9711
8.43565322,9465
8.44651966,9457
8.4573861,9576
8.46825254,9491
8.47911898,9616
8.48998542,9421
8.50085186,9696
8.5117183,9655
8.52258474,9357
8.53345118,9609
8.54431762,9575
8.55518406,9523
8.5660505,9453
