Core,Depth,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,LaCeNdGd,Fe,Mn,TOC,Fines,Eh,LREE_HREE,La_Yb,Nd_Yb,Ce_anom,Pr_anom
M1,1 cm,5.93,20.6,1.62,6.46,1.23,0.28,1.2,0.19,1.09,0.2,0.54,NA,0.49,NA,39.83,34.19,12.3,87.7,1.93,14.6,52,9.74,1.18,1.25,1.44,0.86
M1,3 cm,4.88,10.5,1.36,5.41,0.99,0.24,0.97,0.15,0.89,0.16,0.43,NA,0.38,NA,26.36,21.76,16.9,157,0.68,15.1,180,7.81,1.23,1.33,0.89,1.12
M1,5 cm,5.05,11,1.4,5.52,1.01,0.24,1,0.16,0.92,0.17,0.46,NA,0.4,NA,27.33,22.57,16.6,256,0.7,15.7,168,7.8,1.22,1.29,0.9,1.11
M1,7 cm,5.74,19.5,1.58,6.31,1.17,0.27,1.11,0.17,1.03,0.19,0.51,NA,0.46,NA,38.04,32.66,19,382,0.73,13.6,211,9.96,1.22,1.3,1.41,0.87
M1,9 cm,6.01,13.2,1.69,6.68,1.29,0.29,1.18,0.19,1.08,0.2,0.55,NA,0.5,NA,32.86,27.07,16.3,259,0.86,11.6,98,7.93,1.18,1.27,0.9,1.12
M1,11 cm,6.98,15.7,1.98,7.95,1.55,0.34,1.42,0.23,1.32,0.25,0.65,NA,0.59,NA,38.96,32.05,17.3,200,0.99,11.2,167,7.74,1.15,1.26,0.92,1.1
M1,13 cm,5.54,12.6,1.61,6.18,1.14,0.27,1.06,0.17,0.97,0.18,0.47,NA,0.42,NA,30.61,25.38,16,146,1.02,10.7,110,8.4,1.29,1.39,0.92,1.13
M1,21 cm,13.5,29.4,2.44,9.97,2.05,0.45,1.93,0.28,1.62,0.3,0.82,NA,0.78,NA,63.54,54.8,16.5,51,0.73,13.5,-18,10.1,1.68,1.2,1.1,0.88
M1,27 cm,15.1,36.2,3.07,12.5,2.54,0.57,2.45,0.36,2.04,0.38,1.02,NA,0.96,NA,77.19,66.25,29.3,221,0.82,24,-21,9.71,1.53,1.23,1.15,0.89
M1,33 cm,8.44,14.7,1.9,7.64,1.5,0.33,1.41,0.21,1.22,0.23,0.62,NA,0.58,NA,38.78,32.19,15.5,61.1,0.64,14.7,75,8.12,1.41,1.24,0.8,1.11
