Sample,Transect,Core,Depth_cat,Top,Bot,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE
1a,1,1,a,0,25,2.7,5.73,0.67,2.24,0.37,0.09,0.35,0.034,0.18,0.04,0.12,0.015,0.12,0.017,12.67
1b,1,1,b,25,50,6.92,12.68,1.35,4.43,0.71,0.15,0.68,0.069,0.37,0.08,0.24,0.037,0.27,0.042,28.04
1c,1,1,c,50,70,22.06,37.55,4.51,15.75,3.02,0.57,3.07,0.43,2.64,0.56,1.88,0.295,2.06,0.32,94.72
2a_star,1,2,a_star,NA,NA,1.17,5.93,1.15,5.54,1.48,0.38,1.83,0.272,1.62,0.31,0.9,0.12,0.77,0.112,21.59
2a,1,2,a,0,12,11.09,40.34,4.62,18.56,3.75,0.77,3.2,0.363,1.68,0.27,0.66,0.079,0.44,0.064,85.88
2b,1,2,b,12,22,14.76,27.76,3.17,11.41,2.13,0.4,2.05,0.234,1.23,0.23,0.77,0.112,0.76,0.119,65.13
2c,1,2,c,22,37,27.42,51.78,5.81,20.69,3.87,0.76,3.77,0.461,2.43,0.48,1.48,0.225,1.53,0.249,120.97
2d,1,2,d,37,52,34.8,68.63,7.64,27.41,5.29,1.09,5.21,0.629,3.4,0.67,2.04,0.309,2.09,0.33,159.52
2e,1,2,e,52,57,28.92,62.73,7.58,28.68,5.83,1.24,5.56,0.703,3.77,0.71,2.06,0.322,2.02,0.332,150.46
3a,1,3,a,0,20,22.41,44.6,5.14,18.66,3.67,0.77,3.62,0.432,2.33,0.45,1.37,0.204,1.4,0.219,105.29
3b,1,3,b,20,30,9.7,18.35,2.09,7.5,1.4,0.3,1.3,0.14,0.74,0.14,0.44,0.065,0.47,0.074,42.69
3c,1,3,c,30,50,31.89,62.39,7.27,26.19,4.97,1.01,4.82,0.591,3.29,0.63,2,0.3,2.07,0.326,147.75
4a,1,4,a,0,20,33.06,70.85,8.27,30.81,6.4,1.36,6.57,0.837,4.56,0.87,2.61,0.378,2.5,0.386,169.47
4b,1,4,b,20,30,31.73,68.9,7.5,27.63,5.47,1.18,5.74,0.706,3.8,0.73,2.24,0.315,2.13,0.328,158.38
4c,1,4,c,30,40,15.29,27.52,3.08,10.89,1.99,0.42,1.93,0.213,1.13,0.22,0.7,0.106,0.74,0.12,64.36
4d,1,4,d,40,50,31.23,65.69,7.81,28.96,5.88,1.25,5.84,0.74,4.04,0.78,2.39,0.352,2.41,0.373,157.76
5a,1,5,a,0,25,33.35,69.44,7.95,29.38,5.89,1.2,5.59,0.676,3.66,0.7,2.19,0.33,2.28,0.35,163
5b,1,5,b,25,50,31.53,63.94,7.51,27.85,5.78,1.2,5.5,0.678,3.74,0.71,2.26,0.343,2.41,0.366,153.81
6a,1,6,a,0,15,15.45,28.68,3.11,11.07,2.1,0.45,2.12,0.242,1.28,0.25,0.77,0.116,0.88,0.126,66.63
