Env,Sample,Fe,Al,POC,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,REE,LaCeNdGd
River,A,4.4,8.5,0.2,16.2,33.3,3.9,15.6,4.12,1.24,5.3,0.78,4.47,0.97,2.56,0.37,1.79,0.3,90.9,70.4
River,B,5,8.7,0.2,17.3,34.8,3.93,15,3.92,1.43,4.92,0.71,4.29,0.9,2.42,0.35,1.75,0.29,92.01,72.02
River,C,13.5,6.1,<0.1,19.3,34.8,3.63,13.5,3.25,0.71,4.08,0.58,3.1,0.64,1.69,0.23,1.2,0.18,86.89,71.68
River,D,15.5,6,<0.1,25.7,48.8,5.5,21.3,5.3,1.33,6.03,0.86,4.73,1.02,2.62,0.37,1.75,0.28,125.59,101.83
River,E,6.5,9.4,0.7,19,37.8,4.47,18.8,4.98,1.33,5.98,0.88,5.01,1.12,3.01,0.44,2.27,0.38,105.47,81.58
River,F,5.1,10.6,1.7,22.3,43,5.1,21,5.47,1.5,6.62,0.98,5.5,1.21,3.24,0.46,2.38,0.38,119.14,92.92
River,G,1.5,8.3,1.1,17.1,32.8,3.56,13.5,3.38,0.9,4.12,0.59,3.2,0.66,1.72,0.23,1.21,0.18,83.15,67.52
River,H,7.2,8.1,0.1,10.8,21.4,2.48,9.9,2.57,0.75,3.3,0.48,2.66,0.54,1.41,0.2,1.05,0.17,57.71,45.4
River,I,6.8,8.7,1.1,16.3,32.8,3.57,14.1,3.64,0.89,4.53,0.66,3.9,0.81,2.23,0.32,1.69,0.27,85.71,67.73
River,J,5.3,8.4,0.5,23.2,45.2,5.22,20.8,5.26,1.72,6.32,0.93,5.34,1.17,3.12,0.45,2.28,0.38,121.39,95.52
River,K,1.9,8.4,0.2,9.5,17.6,2,7.4,1.91,0.66,2.27,0.33,1.82,0.39,1.02,0.15,0.75,0.12,45.92,36.77
River,L,1.6,8,0.3,15.2,27.3,2.97,10.7,2.6,0.84,3,0.44,2.53,0.51,1.35,0.19,1,0.16,68.79,56.2
River,M,1.1,8.8,<0.1,8.6,16.6,1.91,7.3,1.95,0.94,2.68,0.41,2.49,0.54,1.51,0.23,1.28,0.22,46.66,35.18
Estuary,1,3,7.9,1.2,18.1,32.9,3.49,13,3.16,0.62,4.03,0.59,3.4,0.71,1.94,0.28,1.5,0.24,83.96,68.03
Estuary,2,4.7,10,2.1,32,60.8,6.98,26.3,6.59,1.59,7.3,1.08,6.1,1.32,3.6,0.51,2.72,0.43,157.32,126.4
Estuary,3,4.7,10.1,2,26.9,50,5.7,22.2,5.52,1.32,6.58,0.98,5.52,1.22,3.3,0.47,2.5,0.4,132.61,105.68
Estuary,4,4.5,8.3,2.9,26.9,50.3,5.82,22.6,5.9,1.45,6.8,1,5.7,1.24,3.4,0.48,2.57,0.41,134.57,106.6
Estuary,5,4.7,9.4,2.5,29.5,56.2,6.33,24.8,6.39,1.38,7.6,1.13,6.56,1.41,3.9,0.54,2.93,0.47,149.14,118.1
Estuary,6,4.8,10.7,1.9,28.2,53.5,6.01,22.8,5.93,1.27,7,1.06,5.98,1.28,3.48,0.49,2.56,0.41,139.97,111.5
Estuary,7,4.6,9.6,2,25.7,50.3,5.97,23.3,6.13,1.35,7.3,1.09,6.01,1.29,3.48,0.48,2.52,0.4,135.32,106.6
Estuary,8,5,10.5,2.1,29.4,56,6.28,24,6.08,1.43,7.55,1.13,6.52,1.4,3.92,0.54,2.93,0.47,147.65,116.95
Estuary,9,4.3,10,1.9,27.8,54.2,6.05,23.8,6.08,1.34,7.5,1.1,6.11,1.31,3.53,0.49,2.61,0.41,142.33,113.3
Estuary,10,0.6,5.3,0.6,8.7,15.9,1.66,6,1.37,0.49,1.56,0.22,1.22,0.25,0.66,0.09,0.47,0.07,38.66,32.16
Estuary,11,4.6,9.3,3.3,31.8,60.2,6.7,25.2,6.4,1.72,7.88,1.16,6.68,1.42,3.93,0.54,2.9,0.47,157,125.08
Estuary,12,4.8,7.9,7.1,26.9,50,5.71,22.2,5.58,1.7,6.7,0.99,5.53,1.22,3.29,0.46,2.42,0.39,133.09,105.8
Estuary,13,0.6,5.8,0.8,14.1,24.8,2.51,9,2.18,0.57,2.41,0.33,1.75,0.36,0.91,0.13,0.63,0.1,59.78,50.31
Estuary,14,0.8,6.4,0.5,9,15.9,1.56,5.5,1.19,0.48,1.5,0.22,1.27,0.27,0.73,0.11,0.55,0.09,38.37,31.9
Estuary,15,2.3,7.1,2.3,15.2,29.6,3.21,12,3.08,0.68,4.07,0.61,3.48,0.74,2.03,0.3,1.65,0.27,76.92,60.87
Estuary,16,0.8,6.2,0.2,6.3,12.1,1.38,5.2,1.29,0.66,1.51,0.22,1.22,0.26,0.67,0.1,0.49,0.08,31.48,25.11
Estuary,17,0.8,7.7,0.2,9.8,18.6,2.16,7.9,2.07,0.55,2.67,0.37,2.2,0.45,1.23,0.18,0.93,0.15,49.26,38.97
Estuary,18,0.7,7,0.3,6.7,12.1,1.34,4.9,1.14,0.4,1.38,0.21,1.17,0.25,0.67,0.1,0.5,0.08,30.94,25.08
Estuary,19,0.8,7,0.2,7.5,13.9,1.46,5.3,1.23,0.58,1.56,0.23,1.4,0.33,0.88,0.13,0.72,0.12,35.34,28.26
Estuary,20,4.6,10.5,1.9,28,53.1,5.07,22.4,5.59,1.61,6.69,1,5.6,1.23,3.33,0.47,2.51,0.4,137,110.19
Estuary,21,0.7,7,0.1,6.3,10.9,1.13,3.8,0.88,0.35,1.16,0.18,1.09,0.24,0.69,0.11,0.59,0.1,27.52,22.16
Estuary,22,0.8,6.6,0.1,15,24.9,2.47,8.2,1.95,0.38,2.5,0.37,2.18,0.46,1.28,0.19,1,0.17,61.05,50.6
