Site,Horizon,Longitude,Latitude,Depth_upper,Depth_lower,Ca,Mg,Fe,Mn,P,Zn,S,As,Cu,Pb,Ba,Be,Ce,Co,Cr,Ga,Gd,Ge,Hf,La,Mo,Nd,Sc,Sr,Th,V,Y
616-01-003,A-horizon,115.9156,-31.8135,0,25,1170,71,559,12,10,0.9,51,NA,0.85,0.14,5.83,0.009,1.82,0.19,0.95,0.13,0.1,0.07,0.07,1.16,0.15,0.65,0.02,10.64,0.56,0.82,2.7
616-01-003,coffee-rock,115.9156,-31.8135,180,200,150,44,10415,3,25,1.08,230,2.33,1.77,2.91,2.45,0.051,3.48,0.57,10.81,4.24,0.44,0.15,0.1,2.59,0.3,1.37,0.31,2.46,3.89,13.89,1.14
616-01-003,E-horizon,115.9156,-31.8135,250,300,28,14,277,6,8,0.67,74,NA,1.08,0.47,2.09,0.019,1.46,0.29,3,0.92,0.09,0.05,0.04,0.74,0.04,0.53,0.07,0.61,0.8,1.23,1.35
616-01-003,E-horizon,115.9156,-31.8135,400,NA,29,10,254,7,5,0.58,19,NA,0.67,0.29,2.32,0.012,1.14,0.2,2.53,0.61,0.05,0.05,0.03,0.61,0.06,0.45,0.04,0.5,0.74,1.17,1.73
616-01-003,E-horizon,115.9156,-31.8135,600,NA,18,12,244,9,3,0.12,36,NA,0.16,1.58,2.5,0.012,2.55,0.18,1.57,0.69,0.14,0.04,0.03,1.45,0.01,0.99,0.06,0.34,1.1,1.05,1.63
616-01-005,B-horizon,115.9075,-31.7777,620,630,49,16,315,5,3,1.82,49,0.05,0.32,0.55,1.31,NA,0.91,0.05,2.29,1.09,0.07,NA,NA,0.63,0.12,0.41,0.05,1.07,0.32,0.86,0.13
616-01-005,A-horizon,115.9075,-31.7777,0,20,1266,108,464,7,26,4.29,86,NA,1.23,1.62,4.29,0.008,1.13,0.19,1.17,0.32,0.08,0.07,0.05,0.77,0.15,0.47,0.03,5.52,0.39,0.74,0.91
616-01-005,E-horizon,115.9075,-31.7777,130,150,22,8,128,4,5,1.18,29,NA,0.36,NA,1.18,0.005,0.98,0.12,0.52,0.49,0.05,NA,0.04,0.57,0.09,0.37,0.03,0.38,0.41,0.67,4.14
616-01-005,coffee-rock,115.9075,-31.7777,180,200,88,40,520,6,18,1.04,98,NA,0.55,0.57,2.26,0.028,1.58,0.25,6.26,4.01,0.09,0.08,0.05,1.12,0.22,0.63,0.14,1.64,0.64,3.37,1.02
616-01-005,B-horizon,115.9075,-31.7777,220,250,11,10,239,5,4,1.58,99,NA,0.85,NA,0.82,0.007,1.19,0.14,2.86,0.92,0.07,0.02,0.03,0.74,0.1,0.49,0.06,0.28,0.56,1.18,1.7
616-01-005,E-horizon,115.9075,-31.7777,250,260,10,10,130,3,3,2.25,245,NA,2.78,NA,0.94,0.007,0.89,0.35,2.86,1.08,0.04,0.05,0.03,0.76,0.07,0.38,0.07,0.27,0.41,1.08,1.3
616-01-005,E-horizon,115.9075,-31.7777,260,300,14,8,87,2,3,0.92,194,NA,0.96,NA,0.66,0.007,0.86,0.15,1.76,0.71,0.05,0.03,0.01,0.46,0.08,0.37,0.06,0.27,0.4,0.95,1.93
616-01-005,E-horizon,115.9075,-31.7777,440,470,9,6,113,2,2,0.07,30,1.34,0.4,NA,0.46,0.004,0.61,0.05,0.41,0.11,0.01,0.02,0.02,0.29,0.01,0.21,0.02,0.09,0.23,0.38,1.73
616-01-005,E-horizon,115.9075,-31.7777,710,730,7,5,251,4,4,0.55,50,NA,0.89,0.26,1.54,0.01,0.52,0.25,1.47,0.27,0.02,0.02,0.02,0.33,0.14,0.19,0.04,0.28,0.22,0.71,1.17
616-01-005,coffee-rock,115.9075,-31.7777,840,860,32,42,67,2,5,NA,127,NA,0.27,4.02,161,0.015,1.29,0.14,4.08,1.22,0.1,0.05,0.04,0.77,0.08,0.49,0.26,0.8,0.92,1.58,0.19
616-01-005,coffee-rock,115.9075,-31.7777,940,960,54,31,230,10,11,0.09,136,0.08,0.36,3.22,2.16,0.023,2.25,0.17,5.89,2.11,0.15,0.05,0.08,1.26,0.14,0.84,0.32,0.86,1.74,2.6,0.39
616-02-009,E-horizon,115.9433,-31.9245,225,250,45,23,366,11,7,NA,39,0.44,0.08,1.33,7.41,0.002,2.66,NA,3,0.85,0.12,NA,NA,1.63,0.04,0.96,0.07,0.61,0.69,0.62,0.19
